date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,60.2,60.48,59.19,60.3,1226944,MSI,,
2013-02-11,60.36,61.035,60.21,60.9,1080309,MSI,0.00995024875621893,
2013-02-12,60.79,61.06,60.47,60.83,941229,MSI,-0.0011494252873563266,
2013-02-13,61.0,61.3999,60.79,60.81,1489324,MSI,-0.0003287851389116558,
2013-02-14,60.52,61.28,60.2,61.12,1765526,MSI,0.0050978457490543526,
2013-02-15,61.32,61.83,61.15,61.43,1854302,MSI,0.005071989528795849,
2013-02-19,61.35,62.05,61.2675,62.03,1521057,MSI,0.009767214715936862,
2013-02-20,61.98,61.99,61.25,61.26,1423516,MSI,-0.012413348379816268,
2013-02-21,61.22,61.22,60.52,60.88,1384099,MSI,-0.0062030688867123,
2013-02-22,61.17,61.945,61.03,61.9,1297205,MSI,0.01675427069645197,
2013-02-25,62.0,62.08,60.27,60.28,1852670,MSI,-0.02617124394184164,
2013-02-26,60.4,60.835,60.12,60.63,2619409,MSI,0.005806237558062399,
2013-02-27,60.83,62.3,60.63,62.09,1902609,MSI,0.024080488207158187,
2013-02-28,61.95,62.51,61.86,62.21,1891932,MSI,0.0019326783701078666,
2013-03-01,61.94,62.28,61.51,62.03,1247804,MSI,-0.0028934254942935174,
2013-03-04,61.76,62.5,61.63,62.5,1325149,MSI,0.007576978881186504,
2013-03-05,62.69,63.14,62.5001,62.97,1773373,MSI,0.0075199999999999816,
2013-03-06,63.25,63.58,63.025,63.11,1864059,MSI,0.0022232809274257675,
2013-03-07,63.3,63.44,62.61,62.64,1397291,MSI,-0.0074473142132783846,
2013-03-08,62.87,63.32,62.525,62.75,2083715,MSI,0.001756066411238816,
2013-03-11,62.61,62.84,62.52,62.56,1715801,MSI,-0.0030278884462151033,
2013-03-12,62.51,62.62,61.47,62.13,2106328,MSI,-0.006873401534526849,
2013-03-13,62.0,62.3,61.67,62.22,1264416,MSI,0.0014485755673587044,
2013-03-14,62.49,62.57,62.02,62.34,1499800,MSI,0.0019286403085825225,
2013-03-15,62.21,62.5,62.03,62.07,2215406,MSI,-0.004331087584215642,
2013-03-18,61.44,62.1,61.26,61.64,768687,MSI,-0.006927662316739161,
2013-03-19,61.76,61.976,61.24,61.67,879570,MSI,0.0004866969500324649,
2013-03-20,61.95,62.52,61.91,62.4,1399571,MSI,0.011837197989297825,
2013-03-21,62.13,62.635,61.98,62.43,1173055,MSI,0.000480769230769249,
2013-03-22,62.49,63.78,62.47,63.61,1753659,MSI,0.018901169309626778,61.858
2013-03-25,63.71,63.725,62.87,63.29,1186628,MSI,-0.005030655557302316,61.95766666666667
2013-03-26,63.58,63.75,63.34,63.46,916174,MSI,0.0026860483488703067,62.043
2013-03-27,63.18,63.77,63.01,63.56,900895,MSI,0.0015757957768673403,62.134
2013-03-28,63.46,64.1,63.31,64.03,1352220,MSI,0.007394587791063544,62.24133333333334
2013-04-01,63.97,64.23,63.5601,63.7,748191,MSI,-0.005153834140246733,62.32733333333333
2013-04-02,64.0,64.2,63.475,63.7,650641,MSI,0.0,62.403
2013-04-03,63.58,63.63,62.62,62.8,1611212,MSI,-0.01412872841444279,62.428666666666665
2013-04-04,62.68,63.19,62.5601,62.99,1246141,MSI,0.0030254777070064464,62.48633333333333
2013-04-05,62.36,62.83,62.07,62.67,1056780,MSI,-0.005080171455786637,62.54600000000001
2013-04-08,62.59,63.2,62.34,63.17,1155123,MSI,0.007978299026647519,62.58833333333334
2013-04-09,63.3,63.93,63.08,63.64,990711,MSI,0.00744024062054771,62.70033333333333
2013-04-10,63.73,64.72,63.441,64.69,1012346,MSI,0.01649905719673157,62.835666666666675
2013-04-11,64.56,64.72,64.1501,64.63,1109400,MSI,-0.0009275003864585295,62.92033333333333
2013-04-12,64.22,64.58,63.31,63.87,1182006,MSI,-0.011759244932693766,62.97566666666667
2013-04-15,63.38,63.44,61.82,61.83,1611576,MSI,-0.031939877876937514,62.969
2013-04-16,62.31,63.11,62.02,62.96,1218170,MSI,0.01827591783923666,62.98433333333333
2013-04-17,62.67,62.7625,61.97,62.13,1361435,MSI,-0.013182973316391332,62.95633333333333
2013-04-18,62.39,62.396,61.0601,61.15,1727865,MSI,-0.015773378400128827,62.891
2013-04-19,61.55,62.25,61.02,61.72,1486593,MSI,0.00932134096484056,62.86033333333333
2013-04-22,61.84,62.065,61.31,61.78,839636,MSI,0.0009721322099805942,62.827999999999996
2013-04-23,61.88,62.0,60.7436,61.75,2326414,MSI,-0.0004855940433797529,62.801
2013-04-24,54.74,57.1,53.28,56.02,8367382,MSI,-0.09279352226720643,62.59733333333334
2013-04-25,56.06,56.76,55.33,56.39,3657363,MSI,0.0066047840057122,62.403000000000006
2013-04-26,56.31,57.19,56.31,56.8,3535949,MSI,0.007270792693739965,62.218333333333334
2013-04-29,57.01,57.79,56.851,57.44,2361015,MSI,0.011267605633802828,62.064
2013-04-30,57.4,57.41,56.55,57.2,2716718,MSI,-0.004178272980501304,61.916000000000004
2013-05-01,57.0,57.48,56.36,56.37,2176084,MSI,-0.014510489510489603,61.739333333333335
2013-05-02,56.42,57.02,56.25,56.89,1843832,MSI,0.009224764945893261,61.55566666666667
2013-05-03,57.23,57.7,57.16,57.29,1766374,MSI,0.007031112673580569,61.38433333333333
2013-05-06,57.03,57.6,56.91,56.95,1940232,MSI,-0.005934718100890143,61.162333333333336
2013-05-07,56.9,57.06,56.6,56.79,2605392,MSI,-0.002809482001755991,60.94566666666667
2013-05-08,56.81,57.36,56.43,57.0,2639500,MSI,0.003697834125726375,60.730333333333334
2013-05-09,56.8,57.08,56.135,56.78,2676615,MSI,-0.003859649122806998,60.504333333333335
2013-05-10,56.44,56.78,56.09,56.48,2334164,MSI,-0.005283550545966965,60.25266666666667
2013-05-13,56.23,56.53,56.07,56.17,2249038,MSI,-0.005488668555240708,60.001666666666665
2013-05-14,56.01,56.94,56.01,56.89,2238999,MSI,0.012818230372084722,59.77466666666667
2013-05-15,56.68,57.23,56.63,57.1,2239827,MSI,0.003691334153629827,59.584666666666664
2013-05-16,57.1,57.88,56.89,57.53,3030511,MSI,0.007530647985989487,59.40266666666666
2013-05-17,57.51,57.92,57.34,57.84,2295592,MSI,0.0053884929601947205,59.24166666666667
2013-05-20,57.62,58.83,57.62,58.25,3507432,MSI,0.007088520055324976,59.077666666666666
2013-05-21,58.68,59.07,57.66,57.77,2685926,MSI,-0.008240343347639432,58.882
2013-05-22,57.71,58.21,57.19,57.3,2517134,MSI,-0.008135710576423852,58.635666666666665
