date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,103.85,104.54,103.61,104.39,408129,MTB,,
2013-02-11,103.93,104.36,103.74,104.24,468221,MTB,-0.0014369192451384777,
2013-02-12,104.36,105.68,104.21,105.45,653561,MTB,0.011607828089025402,
2013-02-13,105.69,105.86,104.41,104.67,660195,MTB,-0.007396870554765302,
2013-02-14,104.51,104.92,104.03,104.6,793970,MTB,-0.0006687685105570592,
2013-02-15,104.98,105.1,104.0,104.83,639135,MTB,0.0021988527724665775,
2013-02-19,104.99,105.895,104.87,105.78,1174600,MTB,0.009062291328818113,
2013-02-20,105.41,105.52,104.54,104.65,666069,MTB,-0.010682548685951932,
2013-02-21,104.37,104.79,102.97,103.09,646968,MTB,-0.014906832298136666,
2013-02-22,103.65,104.73,103.22,104.73,696662,MTB,0.01590842952759725,
2013-02-25,105.23,105.615,101.79,101.86,952711,MTB,-0.027403800248257466,
2013-02-26,102.25,102.54,100.88,102.05,757350,MTB,0.001865305321028841,
2013-02-27,102.0,102.88,101.3001,102.65,626202,MTB,0.005879470847623798,
2013-02-28,101.77,102.77,101.55,102.09,741665,MTB,-0.005455431076473475,
2013-03-01,101.59,102.88,100.82,102.66,616672,MTB,0.005583308845136577,
2013-03-04,102.17,103.36,102.17,103.27,537122,MTB,0.005941944282096235,
2013-03-05,103.65,104.18,103.44,103.66,793626,MTB,0.003776508182434401,
2013-03-06,104.1,104.19,103.355,103.83,785554,MTB,0.0016399768473857005,
2013-03-07,103.95,104.12,103.45,103.96,604060,MTB,0.0012520466146585328,
2013-03-08,104.57,104.6,103.63,103.96,557136,MTB,0.0,
2013-03-11,103.98,104.22,103.75,104.18,659903,MTB,0.002116198537899318,
2013-03-12,103.81,104.2,103.804,104.09,989167,MTB,-0.0008638894221539969,
2013-03-13,104.15,104.31,103.68,104.22,475197,MTB,0.0012489192045344938,
2013-03-14,104.42,104.77,104.24,104.67,395679,MTB,0.004317789291882583,
2013-03-15,104.65,104.87,104.02,104.35,968684,MTB,-0.0030572274768320188,
2013-03-18,104.1,104.6,102.5,103.31,636210,MTB,-0.009966459032103423,
2013-03-19,103.64,104.03,102.63,102.85,867083,MTB,-0.004452618333172084,
2013-03-20,103.46,103.49,102.69,103.29,1002093,MTB,0.004278074866310277,
2013-03-21,102.8,103.26,102.49,102.68,547468,MTB,-0.005905702391325388,
2013-03-22,102.97,103.17,102.54,103.12,574512,MTB,0.0042851577717179365,103.77266666666667
2013-03-25,103.58,103.64,102.6,102.8,584580,MTB,-0.003103180760279358,103.71966666666667
2013-03-26,103.3,103.32,102.34,102.57,851039,MTB,-0.0022373540856031517,103.664
2013-03-27,102.0,103.22,101.79,103.14,486687,MTB,0.0055571804621235,103.587
2013-03-28,103.42,103.69,100.76,103.16,710707,MTB,0.000193911188675548,103.53666666666666
2013-04-01,103.18,103.18,102.07,102.5,427808,MTB,-0.006397828615742503,103.46666666666667
2013-04-02,102.84,103.03,101.79,102.08,880598,MTB,-0.004097560975609773,103.375
2013-04-03,102.16,102.16,100.62,100.82,639750,MTB,-0.012343260188087825,103.20966666666666
2013-04-04,101.13,102.0,100.95,101.61,528707,MTB,0.007835746875619979,103.10833333333333
2013-04-05,100.11,101.31,99.89,101.2,1127358,MTB,-0.004035035921661221,103.04533333333333
2013-04-08,101.12,101.185,100.42,101.09,1133444,MTB,-0.0010869565217391248,102.924
2013-04-09,101.01,102.94,100.93,102.79,885555,MTB,0.016816697991888445,102.955
2013-04-10,103.12,104.59,102.84,104.49,648795,MTB,0.016538573791224715,103.03633333333332
2013-04-11,104.47,105.25,104.35,104.92,629423,MTB,0.004115226337448625,103.112
2013-04-12,101.5,103.52,99.94,100.24,2484693,MTB,-0.04460541364849416,103.05033333333334
2013-04-15,100.0,100.469,98.36,98.36,1471393,MTB,-0.018754988028731,102.907
2013-04-16,98.09,98.65,97.66,98.48,1470399,MTB,0.0012200081333876023,102.74733333333332
2013-04-17,97.55,97.81,96.43,96.55,882755,MTB,-0.019597887896019565,102.51033333333334
2013-04-18,96.62,97.96,95.68,97.57,1261475,MTB,0.01056447436561363,102.30166666666668
2013-04-19,97.94,98.94,97.48,98.75,914412,MTB,0.012093881315978343,102.128
2013-04-22,98.89,98.97,98.02,98.68,615751,MTB,-0.0007088607594936018,101.952
2013-04-23,99.18,99.7,98.56,99.56,598334,MTB,0.008917713822456378,101.798
2013-04-24,99.84,100.03,99.36,99.92,565812,MTB,0.003615910004017672,101.659
2013-04-25,100.18,100.5,99.84,100.09,755093,MTB,0.001701361088871114,101.52133333333335
2013-04-26,100.16,100.38,99.68,99.82,598859,MTB,-0.002697572185033572,101.35966666666667
2013-04-29,100.13,100.45,99.48,99.81,422617,MTB,-0.00010018032458416054,101.20833333333333
2013-04-30,99.75,100.3795,99.04,100.2,657521,MTB,0.003907424105801027,101.10466666666667
2013-05-01,99.87,100.14,99.34,99.54,731823,MTB,-0.006586826347305355,100.99433333333333
2013-05-02,99.71,101.15,99.46,100.42,717253,MTB,0.008840667068515124,100.89866666666667
2013-05-03,101.07,101.41,100.5,100.77,420354,MTB,0.0034853614817764817,100.83500000000001
2013-05-06,100.76,101.44,100.68,101.23,282136,MTB,0.004564850649995117,100.772
2013-05-07,101.5,102.355,101.27,102.3,501469,MTB,0.010569989133655963,100.75533333333333
2013-05-08,102.34,103.34,102.0,103.19,407176,MTB,0.008699902248289352,100.776
2013-05-09,103.17,103.49,102.73,103.07,472692,MTB,-0.0011629033821107138,100.77366666666667
2013-05-10,103.31,103.69,102.83,103.52,374586,MTB,0.0043659648782381185,100.78566666666667
2013-05-13,103.17,103.9,103.0201,103.34,380255,MTB,-0.001738794435857734,100.81366666666666
2013-05-14,103.42,104.0,103.25,103.99,613089,MTB,0.006289916779562526,100.87733333333334
2013-05-15,103.49,105.84,103.49,105.37,578717,MTB,0.013270506779498122,101.029
2013-05-16,105.03,105.64,104.34,104.69,602878,MTB,-0.0064534497485053315,101.13166666666666
2013-05-17,104.76,106.08,104.76,105.94,531177,MTB,0.011940013372814978,101.28966666666666
2013-05-20,105.78,106.32,105.44,106.03,400749,MTB,0.0008495374740419428,101.45433333333334
2013-05-21,106.0,106.68,105.79,106.25,486280,MTB,0.0020748844666603683,101.56966666666668
2013-05-22,106.14,107.41,104.49,104.67,622154,MTB,-0.0148705882352941,101.57566666666666
2013-05-23,103.89,104.895,103.76,104.26,453203,MTB,-0.003917072704690901,101.55366666666667
2013-05-24,103.8,104.74,103.24,104.71,385866,MTB,0.004316132745060317,101.70266666666666
2013-05-28,105.62,106.58,105.5,106.08,486462,MTB,0.013083755133225142,101.96000000000001
2013-05-29,105.66,106.525,105.51,105.99,741478,MTB,-0.0008484162895927923,102.21033333333334
2013-05-30,105.8,106.47,105.11,106.01,438914,MTB,0.0001886970468913127,102.52566666666667
2013-05-31,105.8,106.29,104.9,104.9,664835,MTB,-0.010470710310348075,102.77
2013-06-03,105.16,105.72,104.43,105.6,818133,MTB,0.006673021925643361,102.99833333333332
2013-06-04,105.58,106.2601,104.0,104.29,1270740,MTB,-0.012405303030302918,103.18533333333333
2013-06-05,103.83,104.38,102.66,102.79,691033,MTB,-0.01438297056285358,103.29299999999999
