date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2014-04-17,15.0,17.38,15.0,16.99,951088,NAVI,,
2014-04-21,16.97,17.37,16.33,16.82,444213,NAVI,-0.010005885815185295,
2014-04-22,16.63,17.0,16.63,16.8,576707,NAVI,-0.0011890606420927215,
2014-04-23,16.81,16.85,16.71,16.78,1608932,NAVI,-0.001190476190476165,
2014-04-24,16.85,16.86,16.45,16.63,368892,NAVI,-0.008939213349225395,
2014-04-25,16.9,16.92,16.32,16.89,1086546,NAVI,0.01563439567047514,
2014-04-28,16.93,16.93,16.38,16.67,1187928,NAVI,-0.013025458851391288,
2014-04-29,16.62,16.88,16.45,16.68,648522,NAVI,0.0005998800239950815,
2014-04-30,16.7,16.7,16.36,16.55,26746201,NAVI,-0.007793764988009533,
2014-05-01,16.12,17.36,16.12,17.0,3650133,NAVI,0.027190332326283945,
2014-05-02,17.01,17.3,16.87,16.95,2995032,NAVI,-0.002941176470588277,
2014-05-05,16.93,17.26,16.53,16.81,3978423,NAVI,-0.008259587020649002,
2014-05-06,16.69,16.8,16.25,16.34,14309226,NAVI,-0.027959547888161743,
2014-05-07,16.36,16.61,16.26,16.6,5692881,NAVI,0.015911872705018457,
2014-05-08,16.5,16.64,16.35,16.45,5668216,NAVI,-0.009036144578313381,
2014-05-09,16.3,16.51,16.03,16.28,2797016,NAVI,-0.010334346504559158,
2014-05-12,16.28,16.55,15.775,15.95,6980098,NAVI,-0.020270270270270382,
2014-05-13,15.78,16.13,15.78,15.85,8292045,NAVI,-0.006269592476489006,
2014-05-14,15.77,16.04,15.5,15.74,4577476,NAVI,-0.006940063091482614,
2014-05-15,15.66,16.0,15.59,15.74,4919040,NAVI,0.0,
2014-05-16,15.66,15.95,15.66,15.86,2786872,NAVI,0.007623888182973266,
2014-05-19,15.76,16.04,15.6638,16.02,4532436,NAVI,0.01008827238335436,
2014-05-20,16.1,16.165,15.82,15.94,9754753,NAVI,-0.004993757802746571,
2014-05-21,15.93,16.13,15.82,15.93,1743568,NAVI,-0.0006273525721455324,
