date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,27.285,27.595,27.24,27.295,5100734,NKE,,
2013-02-11,27.64,27.95,27.365,27.61,8916290,NKE,0.011540575196922429,
2013-02-12,27.45,27.605,27.395,27.545,3866508,NKE,-0.002354219485693507,
2013-02-13,27.515,27.685,27.205,27.28,6054126,NKE,-0.00962062080232349,
2013-02-14,27.285,27.495,27.16,27.31,6164026,NKE,0.0010997067448679466,
2013-02-15,27.345,27.57,27.26,27.475,7060126,NKE,0.006041742951299989,
2013-02-19,27.445,27.58,27.145,27.235,8509940,NKE,-0.008735213830755303,
2013-02-20,27.2,27.33,26.995,27.01,7587334,NKE,-0.008261428309160927,
2013-02-21,27.415,27.52,27.06,27.27,9359152,NKE,0.009626064420584893,
2013-02-22,27.3,27.44,27.0,27.235,5854828,NKE,-0.0012834616795012886,
2013-02-25,27.27,27.4975,27.02,27.02,8566172,NKE,-0.007894253717642734,
2013-02-26,27.205,27.37,26.97,27.135,6085136,NKE,0.004256106587712879,
2013-02-27,27.08,27.2575,26.98,27.17,6269382,NKE,0.0012898470609913448,
2013-02-28,27.13,27.36,27.0,27.23,6652220,NKE,0.002208317997791635,
2013-03-01,27.21,27.415,27.09,27.41,8053150,NKE,0.006610356224752101,
2013-03-04,27.275,27.45,27.205,27.365,5291732,NKE,-0.0016417365924845568,
2013-03-05,27.45,27.5,27.26,27.45,8082452,NKE,0.0031061575004568192,
2013-03-06,27.48,27.805,27.35,27.65,5811896,NKE,0.007285974499089227,
2013-03-07,27.7,27.825,27.57,27.61,5685050,NKE,-0.0014466546112115424,
2013-03-08,27.56,27.615,27.25,27.345,8017382,NKE,-0.009597971749366193,
2013-03-11,27.285,27.32,27.08,27.265,6754724,NKE,-0.0029255805448893143,
2013-03-12,26.85,27.085,26.635,26.745,12343264,NKE,-0.019072070419952302,
2013-03-13,26.805,27.495,26.8,27.425,8185396,NKE,0.025425313142643475,
2013-03-14,27.42,27.45,27.17,27.345,6918234,NKE,-0.0029170464904285085,
2013-03-15,27.335,27.425,27.1425,27.39,8131942,NKE,0.0016456390565003367,
2013-03-18,27.215,27.3312,27.0402,27.08,5081012,NKE,-0.011317999269806582,
2013-03-19,27.145,27.22,26.77,26.915,6607066,NKE,-0.0060930576070900725,
2013-03-20,27.035,27.44,27.03,27.415,7919460,NKE,0.01857700167193015,
2013-03-21,27.23,27.3625,26.765,26.8,15667772,NKE,-0.02243297464891477,
2013-03-22,28.9999,30.125,28.935,29.765,38577158,NKE,0.11063432835820895,27.35983333333333
2013-03-25,29.695,29.99,29.515,29.78,13317218,NKE,0.0005039475894507162,27.44266666666667
2013-03-26,29.675,29.8131,29.45,29.735,8950418,NKE,-0.001511081262592401,27.5135
2013-03-27,29.51,29.65,29.07,29.225,10445734,NKE,-0.01715150496048421,27.569499999999998
2013-03-28,29.48,29.6575,29.225,29.505,7597018,NKE,0.00958083832335321,27.643666666666665
2013-04-01,29.5,29.595,28.99,29.13,6970314,NKE,-0.012709710218607017,27.704333333333334
2013-04-02,29.185,29.695,29.18,29.45,9330534,NKE,0.010985238585650542,27.770166666666668
2013-04-03,29.6,29.765,29.2775,29.455,7623082,NKE,0.00016977928692696114,27.84416666666667
2013-04-04,29.395,29.75,29.37,29.67,4999470,NKE,0.007299270072992817,27.932833333333335
2013-04-05,29.29,29.52,29.165,29.485,6190482,NKE,-0.006235254465790437,28.006666666666668
2013-04-08,29.445,29.975,29.41,29.975,8013584,NKE,0.01661861963710368,28.098000000000003
2013-04-09,29.91,30.065,29.645,29.945,6677248,NKE,-0.001000834028357002,28.1955
2013-04-10,29.96,30.275,29.96,30.145,5951308,NKE,0.006678911337451972,28.295833333333334
2013-04-11,30.185,30.69,30.155,30.6,8789598,NKE,0.015093713717034395,28.410166666666665
2013-04-12,30.535,30.615,30.215,30.29,5539596,NKE,-0.01013071895424844,28.512166666666666
2013-04-15,30.23,30.465,29.835,29.835,6662770,NKE,-0.015021459227467756,28.593
2013-04-16,30.015,30.265,29.835,30.25,5960568,NKE,0.013909837439249175,28.689166666666665
2013-04-17,30.085,30.655,30.005,30.45,10437376,NKE,0.006611570247933861,28.78916666666667
2013-04-18,30.485,30.6,29.8499,30.09,6000576,NKE,-0.01182266009852215,28.8705
2013-04-19,30.29,30.5191,30.1332,30.46,6765034,NKE,0.012296444001329378,28.965500000000002
2013-04-22,30.545,30.745,30.315,30.68,5927856,NKE,0.007222586999343364,29.076666666666668
2013-04-23,30.81,30.965,30.62,30.84,6116050,NKE,0.005215123859191661,29.195833333333333
2013-04-24,30.925,31.0,30.7,30.765,4167966,NKE,-0.0024319066147859693,29.329833333333333
2013-04-25,30.81,31.245,30.785,31.035,4369776,NKE,0.008776206728425145,29.450166666666668
2013-04-26,31.08,31.235,30.79,30.945,4826564,NKE,-0.0028999516674722042,29.57016666666667
2013-04-29,31.0,31.405,30.81,31.315,5845614,NKE,0.011956697366295071,29.701
2013-04-30,31.365,31.8825,31.33,31.8,10097652,NKE,0.015487785406354763,29.858333333333334
2013-05-01,31.78,32.145,31.6,31.68,7923994,NKE,-0.0037735849056604086,30.017166666666665
2013-05-02,31.75,31.785,31.475,31.66,5605208,NKE,-0.0006313131313131178,30.158666666666665
2013-05-03,31.84,32.48,31.84,32.275,6946530,NKE,0.019425142135186306,30.341166666666666
2013-05-06,32.2,32.275,31.89,31.98,4751828,NKE,-0.009140201394267952,30.415000000000003
2013-05-07,32.095,32.185,31.905,31.955,6298248,NKE,-0.0007817385866167021,30.4875
2013-05-08,31.85,32.0575,31.835,31.95,6246172,NKE,-0.00015647003598807715,30.561333333333334
2013-05-09,31.95,32.265,31.825,31.87,4433678,NKE,-0.0025039123630672395,30.6495
2013-05-10,31.93,32.3975,31.835,32.38,6647234,NKE,0.016002510197678115,30.745333333333335
2013-05-13,32.255,32.4,32.16,32.325,3780472,NKE,-0.001698579369981461,30.851833333333335
2013-05-14,32.265,32.99,32.265,32.955,8277472,NKE,0.019489559164733036,30.968666666666664
2013-05-15,32.89,33.0,32.725,32.915,5289024,NKE,-0.00121377636170533,31.084
2013-05-16,32.88,33.035,32.08,32.22,7688620,NKE,-0.021114993164210855,31.169
2013-05-17,32.235,32.72,32.2,32.66,6219820,NKE,0.013656114214773363,31.274833333333333
2013-05-20,32.635,32.75,32.525,32.665,5463148,NKE,0.00015309246785066009,31.3645
2013-05-21,32.67,32.725,32.49,32.615,6468548,NKE,-0.0015306903413438591,31.453500000000002
