date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,68.85,69.16,68.6,69.0,1178078,NSC,,
2013-02-11,69.19,70.69,69.15,70.57,2314952,NSC,0.022753623188405698,
2013-02-12,70.48,71.65,70.1,71.64,2820360,NSC,0.015162250247980834,
2013-02-13,71.76,72.75,71.51,71.88,2022523,NSC,0.003350083752093731,
2013-02-14,71.52,72.0,71.19,71.97,1497613,NSC,0.0012520868113523012,
2013-02-15,71.84,71.85,71.15,71.5,1934730,NSC,-0.006530498818952325,
2013-02-19,71.89,73.26,71.68,73.2,2467168,NSC,0.023776223776223817,
2013-02-20,73.11,73.42,72.145,72.25,2386162,NSC,-0.012978142076502771,
2013-02-21,72.25,72.54,71.4,71.55,2548883,NSC,-0.009688581314878932,
2013-02-22,71.69,73.31,71.39,73.11,2338200,NSC,0.02180293501048221,
2013-02-25,73.35,73.5,71.43,71.44,2690751,NSC,-0.022842292436055282,
2013-02-26,71.58,71.67,70.83,71.34,1879107,NSC,-0.0013997760358341869,
2013-02-27,71.33,73.04,71.16,72.7,2927140,NSC,0.01906363891225118,
2013-02-28,72.86,73.79,72.62,73.05,2421477,NSC,0.004814305364511613,
2013-03-01,72.61,74.1,72.21,73.75,3253219,NSC,0.009582477754962394,
2013-03-04,73.51,74.4,73.21,74.27,2431601,NSC,0.0070508474576270646,
2013-03-05,74.5,75.44,74.33,75.29,2617272,NSC,0.0137336744311298,
2013-03-06,75.49,75.71,74.04,74.4,1872228,NSC,-0.01182095895869306,
2013-03-07,74.53,74.54,73.105,73.39,2507322,NSC,-0.013575268817204368,
2013-03-08,73.84,74.93,73.84,74.77,2204239,NSC,0.018803651723668012,
2013-03-11,74.6,75.215,74.54,75.02,1749395,NSC,0.0033435870001337436,
2013-03-12,75.0,75.32,74.15,74.48,1484912,NSC,-0.007198080511863397,
2013-03-13,74.67,74.81,73.89,74.3,1774322,NSC,-0.002416756176154764,
2013-03-14,74.55,75.06,74.06,75.06,1414822,NSC,0.0102288021534321,
2013-03-15,74.84,75.62,74.54,75.62,2777077,NSC,0.007460698108180152,
2013-03-18,74.84,75.81,74.73,75.11,1773966,NSC,-0.006744247553557327,
2013-03-19,75.7,76.05,74.5957,75.45,1436410,NSC,0.004526694181866641,
2013-03-20,75.76,76.26,75.61,76.02,1710548,NSC,0.007554671968190764,
2013-03-21,75.64,76.06,74.75,74.86,1997885,NSC,-0.015259142330965491,
2013-03-22,75.005,75.48,74.45,74.65,2107172,NSC,-0.0028052364413571167,73.38799999999999
2013-03-25,75.18,75.36,74.05,74.38,2461643,NSC,-0.003616878767582186,73.56733333333334
2013-03-26,74.85,75.75,74.69,75.75,1474254,NSC,0.018418929819844106,73.74
2013-03-27,75.18,76.43,74.82,76.28,1590132,NSC,0.006996699669967012,73.89466666666667
2013-03-28,76.5,77.415,76.04,77.08,1795808,NSC,0.010487676979548992,74.068
2013-04-01,76.94,77.0,76.0,76.12,1655594,NSC,-0.012454592631032612,74.20633333333333
2013-04-02,76.57,77.33,76.0048,76.25,1578050,NSC,0.0017078297425117636,74.36466666666666
2013-04-03,76.31,76.55,74.82,75.16,2421137,NSC,-0.01429508196721316,74.42999999999999
2013-04-04,74.41,74.64,73.291,73.86,4070254,NSC,-0.017296434273549724,74.48366666666666
2013-04-05,72.73,74.8,72.26,74.52,3132976,NSC,0.008935824532900035,74.58266666666667
2013-04-08,74.45,75.49,74.34,75.36,1638145,NSC,0.011272141706924362,74.65766666666667
2013-04-09,75.4,75.75,74.35,74.38,2613391,NSC,-0.013004246284501114,74.75566666666667
2013-04-10,74.73,75.84,74.63,75.83,1816802,NSC,0.019494487765528406,74.90533333333335
2013-04-11,75.64,76.53,75.11,76.19,2032585,NSC,0.004747461426875899,75.02166666666668
2013-04-12,76.77,78.08,76.38,76.81,2193423,NSC,0.008137550859692933,75.147
2013-04-15,76.28,76.309,74.0825,74.11,3155288,NSC,-0.03515167295925013,75.159
2013-04-16,74.69,76.03,74.38,75.87,1919036,NSC,0.023748481986236743,75.21233333333335
2013-04-17,75.33,75.33,73.44,73.71,2225213,NSC,-0.028469750889679856,75.15966666666667
2013-04-18,73.94,74.28,73.08,73.86,1824146,NSC,0.0020350020350021125,75.14166666666667
2013-04-19,73.88,74.91,73.36,74.75,1737191,NSC,0.012049823991334967,75.18699999999998
2013-04-22,74.75,75.5,74.12,75.06,1343912,NSC,0.004147157190635482,75.19666666666666
2013-04-23,75.62,76.34,75.55,75.84,1398587,NSC,0.010391686650679471,75.22399999999999
2013-04-24,76.25,76.25,73.66,74.92,2799285,NSC,-0.012130801687763735,75.23866666666666
2013-04-25,75.0,76.07,74.95,75.84,1935241,NSC,0.01227976508275496,75.29
2013-04-26,75.85,76.22,75.28,75.56,1767722,NSC,-0.003691983122362884,75.30666666666667
2013-04-29,75.65,77.21,75.56,76.6,1665586,NSC,0.013763896241397459,75.33933333333333
2013-04-30,76.42,77.6,76.02,77.42,2710383,NSC,0.010704960835509236,75.41633333333334
2013-05-01,76.85,76.9395,74.91,75.2,2318971,NSC,-0.028674761043657956,75.40799999999999
2013-05-02,75.39,76.61,74.89,76.47,1807253,NSC,0.016888297872340374,75.423
