date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,52.64,52.76,52.47,52.7,925126,NTRS,,
2013-02-11,52.69,52.825,52.33,52.69,759203,NTRS,-0.00018975332068320902,
2013-02-12,52.82,53.13,52.64,52.93,1661380,NTRS,0.0045549440121465555,
2013-02-13,52.95,53.48,52.85,53.22,842196,NTRS,0.005478934441715457,
2013-02-14,52.92,53.18,52.7,53.09,1232834,NTRS,-0.002442690717775187,
2013-02-15,53.21,53.73,52.9,53.47,1688279,NTRS,0.0071576568091918525,
2013-02-19,53.63,53.96,53.32,53.91,1118273,NTRS,0.008228913409388399,
2013-02-20,53.81,53.94,53.19,53.26,1036681,NTRS,-0.012057132257466121,
2013-02-21,53.2,53.2,52.39,52.52,955189,NTRS,-0.013894104393541024,
2013-02-22,52.8,53.25,52.77,53.23,775259,NTRS,0.0135186595582634,
2013-02-25,53.49,53.69,52.17,52.18,1187880,NTRS,-0.01972571857974821,
2013-02-26,52.43,52.75,51.925,52.48,920019,NTRS,0.0057493292449213714,
2013-02-27,52.54,53.38,52.41,53.29,834151,NTRS,0.01543445121951224,
2013-02-28,53.12,53.53,52.82,53.19,1018451,NTRS,-0.00187652467629952,
2013-03-01,53.05,53.42,52.48,53.28,766607,NTRS,0.0016920473773266293,
2013-03-04,53.35,53.88,53.16,53.84,838177,NTRS,0.010510510510510553,
2013-03-05,54.0,54.83,54.0,54.37,1248337,NTRS,0.009843982169390676,
2013-03-06,54.22,54.56,53.9,54.05,1125796,NTRS,-0.005885598675740304,
2013-03-07,54.09,54.46,53.84,54.41,702351,NTRS,0.0066604995374653,
2013-03-08,54.76,54.99,54.44,54.93,953873,NTRS,0.009557066715677322,
2013-03-11,54.75,55.11,54.54,55.1,924066,NTRS,0.0030948479883488385,
2013-03-12,55.04,55.085,54.67,54.79,713222,NTRS,-0.005626134301270459,
2013-03-13,54.87,54.96,54.45,54.85,901160,NTRS,0.0010950903449535002,
2013-03-14,55.01,55.45,54.9075,55.19,995191,NTRS,0.00619872379216037,
2013-03-15,55.27,55.5,54.5,54.55,2950936,NTRS,-0.011596303678202583,
2013-03-18,54.15,54.62,53.83,54.25,1179733,NTRS,-0.005499541704857877,
2013-03-19,54.5,54.5,53.54,53.99,1264224,NTRS,-0.004792626728110563,
2013-03-20,54.43,54.755,54.0,54.55,1092482,NTRS,0.01037229116503047,
2013-03-21,54.14,54.285,53.545,53.81,1725817,NTRS,-0.01356553620531613,
2013-03-22,53.89,54.84,53.67,54.77,1273843,NTRS,0.017840550083627595,53.763
2013-03-25,55.04,55.14,53.91,54.42,1099354,NTRS,-0.006390359685959492,53.82033333333333
2013-03-26,54.78,54.92,54.228,54.86,977394,NTRS,0.008085262771040018,53.89266666666666
2013-03-27,54.44,54.8,54.19,54.65,860537,NTRS,-0.0038279256288735117,53.95
2013-03-28,54.64,54.64,54.24,54.559,812069,NTRS,-0.0016651418115279247,53.99463333333333
2013-04-01,54.38,54.93,54.24,54.38,929229,NTRS,-0.0032808519217726673,54.03763333333333
2013-04-02,54.5,55.13,54.33,54.78,1281415,NTRS,0.007355645457888903,54.081300000000006
