date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,43.52,43.55,43.17,43.2,1382447,O,,
2013-02-11,43.37,43.68,43.23,43.63,1280569,O,0.009953703703703697,
2013-02-12,43.7,44.5,43.58,44.5,1909422,O,0.01994040797616313,
2013-02-13,44.46,44.55,44.21,44.55,1309721,O,0.0011235955056179137,
2013-02-14,44.31,44.41,44.02,44.29,882698,O,-0.005836139169472458,
2013-02-15,44.38,44.5,44.2501,44.46,944345,O,0.003838338225333071,
2013-02-19,44.78,45.0,44.53,44.7,1727354,O,0.005398110661268601,
2013-02-20,44.77,44.8799,44.45,44.61,1262102,O,-0.0020134228187920224,
2013-02-21,44.7,44.83,44.08,44.3,1270342,O,-0.006949114548307605,
2013-02-22,44.28,44.54,44.21,44.47,822639,O,0.0038374717832957497,
2013-02-25,44.51,44.66,44.27,44.36,1478030,O,-0.002473577692826612,
2013-02-26,44.54,44.92,44.25,44.9,1365469,O,0.012173128944995473,
2013-02-27,44.5,45.47,44.39,45.38,1347362,O,0.010690423162583607,
2013-02-28,45.42,45.86,45.365,45.65,2176749,O,0.005949757602467959,
2013-03-01,45.49,45.88,45.2001,45.78,1373272,O,0.002847754654983627,
2013-03-04,45.68,46.13,45.53,46.1,1092540,O,0.006989951944080391,
2013-03-05,46.37,46.65,46.191,46.62,1756354,O,0.011279826464208156,
2013-03-06,45.36,46.07,45.35,46.05,17614741,O,-0.012226512226512233,
2013-03-07,45.9,46.05,45.78,46.01,3644416,O,-0.000868621064060785,
2013-03-08,46.04,46.04,45.39,45.9,2442787,O,-0.0023907846120408485,
2013-03-11,45.76,45.76,44.71,45.06,2218106,O,-0.018300653594771163,
2013-03-12,45.08,45.125,44.55,44.67,1775651,O,-0.008655126498002675,
2013-03-13,44.75,44.87,44.25,44.44,2146276,O,-0.005148869487351779,
2013-03-14,44.59,44.85,44.52,44.76,1418807,O,0.007200720072007207,
2013-03-15,44.77,44.825,44.42,44.74,2328963,O,-0.000446827524575425,
2013-03-18,44.47,44.6199,44.27,44.44,1662811,O,-0.006705409029950922,
2013-03-19,44.35,44.52,43.66,44.05,1851187,O,-0.00877587758775879,
2013-03-20,44.06,44.25,43.72,44.08,1460449,O,0.0006810442678774379,
2013-03-21,44.02,44.39,44.0,44.13,1164972,O,0.0011343012704175196,
2013-03-22,44.27,44.5,44.24,44.46,1042925,O,0.007477906186267806,44.809666666666665
2013-03-25,44.42,44.6917,44.01,44.21,1399895,O,-0.005623031938821413,44.843333333333334
2013-03-26,44.5,44.94,44.31,44.94,2219766,O,0.016512101334539626,44.88700000000001
2013-03-27,44.8,45.03,44.64,45.0,1472379,O,0.0013351134846462456,44.90366666666667
2013-03-28,44.81,45.37,44.75,45.35,2432516,O,0.00777777777777781,44.93033333333333
2013-04-01,45.3,45.57,44.901,45.57,1252113,O,0.00485115766262401,44.97299999999999
2013-04-02,45.69,45.75,45.48,45.75,1753726,O,0.00394996708360763,45.01599999999999
2013-04-03,45.75,45.8,45.34,45.6,1763992,O,-0.0032786885245901327,45.04600000000001
2013-04-04,45.72,45.91,45.55,45.88,1126855,O,0.006140350877193008,45.08833333333333
2013-04-05,45.52,46.04,45.391,46.03,1437752,O,0.0032693984306887223,45.145999999999994
2013-04-08,46.05,46.4,45.96,46.4,1720608,O,0.008038235933087062,45.21033333333333
2013-04-09,46.4,46.63,46.12,46.46,1585075,O,0.001293103448275911,45.28033333333334
2013-04-10,46.65,46.9,46.54,46.8,1554178,O,0.007318123116659412,45.343666666666664
2013-04-11,46.84,47.7,46.8,47.7,3115001,O,0.019230769230769353,45.42100000000001
2013-04-12,47.57,47.73,47.39,47.73,1469222,O,0.0006289308176099377,45.49033333333333
2013-04-15,47.65,47.98,46.87,46.87,1605972,O,-0.018018018018018007,45.526666666666664
2013-04-16,47.07,47.92,46.83,47.89,1480340,O,0.02176232131427359,45.58633333333333
2013-04-17,47.67,47.704,47.31,47.63,1077983,O,-0.005429108373355565,45.62
2013-04-18,47.7,48.12,47.47,48.1,1162724,O,0.009867730422002915,45.68833333333334
2013-04-19,48.16,49.0,48.0296,49.0,1233999,O,0.01871101871101868,45.788000000000004
2013-04-22,49.0,49.14,48.57,49.13,1293936,O,0.002653061224489848,45.89566666666666
2013-04-23,49.22,49.57,49.13,49.44,976408,O,0.006309790352126911,46.041666666666664
