date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,34.49,34.9,34.49,34.75,1101605,PKI,,
2013-02-11,34.6,34.805,34.44,34.62,705990,PKI,-0.003741007194244678,
2013-02-12,34.63,34.94,34.34,34.52,922026,PKI,-0.0028885037550547177,
2013-02-13,34.58,35.01,34.47,34.57,823058,PKI,0.0014484356894553057,
2013-02-14,34.47,34.69,34.4,34.53,1004740,PKI,-0.001157072606306021,
2013-02-15,34.63,34.72,34.02,34.13,1434082,PKI,-0.011584129742253072,
2013-02-19,34.23,34.43,33.93,34.23,1890178,PKI,0.0029299736302371613,
2013-02-20,34.06,34.13,33.32,33.35,1431289,PKI,-0.025708442886356868,
2013-02-21,33.27,33.5,32.88,32.99,834915,PKI,-0.010794602698650657,
2013-02-22,33.09,33.26,32.975,33.24,723406,PKI,0.007578053955744165,
2013-02-25,33.41,33.7,32.79,32.79,1044046,PKI,-0.0135379061371842,
2013-02-26,33.25,33.97,32.9,33.83,1887483,PKI,0.03171698688624578,
2013-02-27,33.72,34.47,33.6,34.33,1611430,PKI,0.014779781259237365,
2013-02-28,34.4,34.75,34.17,34.17,1092144,PKI,-0.004660646664724631,
2013-03-01,34.03,34.66,33.85,34.66,1231414,PKI,0.01434006438396239,
2013-03-04,34.5,34.665,34.235,34.38,910529,PKI,-0.008078476630121005,
2013-03-05,34.6,34.89,34.5,34.82,956397,PKI,0.012798138452588648,
2013-03-06,34.85,34.96,34.75,34.88,635336,PKI,0.0017231476163125294,
2013-03-07,34.97,35.32,34.68,35.3,1194249,PKI,0.01204128440366957,
2013-03-08,35.43,35.56,35.12,35.56,721105,PKI,0.007365439093484564,
2013-03-11,35.55,35.86,35.43,35.86,647884,PKI,0.008436445444319379,
2013-03-12,35.78,35.86,35.37,35.46,881289,PKI,-0.011154489682097004,
2013-03-13,35.47,35.49,35.215,35.39,516858,PKI,-0.0019740552735476673,
2013-03-14,35.44,35.54,35.19,35.26,1042020,PKI,-0.003673354054817817,
2013-03-15,35.23,35.29,35.16,35.25,1054230,PKI,-0.00028360748723760666,
2013-03-18,34.87,35.09,34.82,34.91,658313,PKI,-0.009645390070922083,
2013-03-19,35.0,35.08,34.71,35.0,1269448,PKI,0.00257805786307658,
2013-03-20,35.2,35.26,34.88,35.02,647058,PKI,0.0005714285714286607,
2013-03-21,34.84,34.95,34.23,34.32,878085,PKI,-0.019988577955454105,
2013-03-22,34.33,34.46,33.85,34.02,828596,PKI,-0.008741258741258659,34.538000000000004
2013-03-25,34.22,34.22,32.76,33.37,1780064,PKI,-0.01910640799529705,34.492
2013-03-26,33.55,33.74,33.44,33.61,963227,PKI,0.00719208870242739,34.458333333333336
2013-03-27,33.39,33.41,33.13,33.2,640653,PKI,-0.012198750371913019,34.41433333333334
2013-03-28,33.14,33.6725,33.05,33.64,657994,PKI,0.013253012048192701,34.38333333333333
2013-04-01,33.59,33.74,33.04,33.44,768162,PKI,-0.005945303210463818,34.347
2013-04-02,33.6,33.85,33.42,33.85,1234656,PKI,0.012260765550239345,34.33766666666667
2013-04-03,33.8,33.9,33.445,33.61,801088,PKI,-0.00709010339734127,34.317
2013-04-04,33.58,33.92,33.55,33.7,618357,PKI,0.0026777744718834698,34.32866666666666
2013-04-05,33.3,33.45,33.09,33.36,695542,PKI,-0.010089020771513453,34.341
2013-04-08,33.34,33.61,33.205,33.6,454329,PKI,0.007194244604316606,34.352999999999994
2013-04-09,34.4,34.78,34.12,34.22,805716,PKI,0.018452380952380876,34.400666666666666
2013-04-10,34.27,34.8,34.16,34.71,679128,PKI,0.014319111630625424,34.43
2013-04-11,34.72,35.08,34.65,34.95,821672,PKI,0.006914433880726073,34.45066666666666
2013-04-12,34.8,34.92,34.63,34.91,472572,PKI,-0.001144492131616774,34.47533333333333
2013-04-15,35.0,35.285,33.925,33.93,1455507,PKI,-0.028072185620166053,34.451
2013-04-16,34.17,34.64,34.17,34.62,960258,PKI,0.020335985853227167,34.458999999999996
2013-04-17,34.28,34.28,33.92,34.09,1689748,PKI,-0.015309069901790701,34.434666666666665
2013-04-18,34.02,34.02,33.29,33.54,846550,PKI,-0.01613376356702858,34.39
2013-04-19,33.64,33.75,33.06,33.09,1262673,PKI,-0.01341681574239701,34.31633333333333
2013-04-22,33.21,33.4,32.99,33.26,608258,PKI,0.005137503777576143,34.23966666666667
2013-04-23,33.5,34.14,33.5,33.86,1010572,PKI,0.018039687312086633,34.173
2013-04-24,33.96,34.38,33.73,33.93,999731,PKI,0.0020673360897814613,34.122
2013-04-25,34.14,34.75,33.97,34.47,1011309,PKI,0.0159151193633952,34.09133333333333
2013-04-26,29.62,31.11,29.5001,30.35,9192085,PKI,-0.11952422396286619,33.92766666666667
2013-04-29,30.36,30.62,30.085,30.6,2861516,PKI,0.008237232289950576,33.772666666666666
2013-04-30,30.31,30.71,30.31,30.65,1926926,PKI,0.0016339869281044822,33.63066666666667
2013-05-01,30.99,31.38,30.8,30.82,2593533,PKI,0.00554649265905389,33.49133333333334
2013-05-02,31.08,31.1199,30.54,30.55,1432702,PKI,-0.008760545100584022,33.342333333333336
2013-05-03,30.79,31.25,30.68,30.92,995832,PKI,0.012111292962356824,33.229
2013-05-06,30.8,31.28,30.79,31.0,1475746,PKI,0.0025873221216040844,33.12833333333334
2013-05-07,30.97,31.71,30.88,31.71,1439192,PKI,0.02290322580645164,33.073
2013-05-08,31.72,32.355,31.7,32.21,2312183,PKI,0.015767896562598548,33.02633333333333
2013-05-09,32.18,32.51,32.125,32.28,968082,PKI,0.0021732381248059695,32.995666666666665
2013-05-10,32.3,32.74,32.27,32.69,705861,PKI,0.01270136307311018,32.964
2013-05-13,32.57,32.69,32.2,32.42,647879,PKI,-0.008259406546344326,32.93
2013-05-14,32.37,32.54,32.31,32.4,897659,PKI,-0.0006169031462061421,32.88166666666667
2013-05-15,32.48,32.72,32.405,32.68,949473,PKI,0.008641975308642011,32.85066666666667
2013-05-16,32.57,32.745,31.82,31.98,1861404,PKI,-0.021419828641370847,32.79333333333333
2013-05-17,32.15,32.29,31.95,32.19,1228248,PKI,0.006566604127579653,32.754333333333335
2013-05-20,32.17,32.67,32.14,32.23,918362,PKI,0.0012426219322770782,32.708666666666666
2013-05-21,32.25,32.615,32.21,32.54,1041283,PKI,0.009618367980142796,32.65266666666667
2013-05-22,32.51,32.89,31.68,31.82,1310054,PKI,-0.022126613398893633,32.556333333333335
2013-05-23,31.44,31.86,31.34,31.76,1127194,PKI,-0.0018856065367692872,32.45
2013-05-24,31.58,31.81,31.47,31.73,968756,PKI,-0.0009445843828715723,32.344
2013-05-28,32.07,32.56,31.92,32.03,1471717,PKI,0.009454774661203931,32.28066666666667
2013-05-29,31.88,31.94,31.48,31.75,1277603,PKI,-0.008741804558226698,32.184999999999995
2013-05-30,31.76,32.06,31.715,31.76,979767,PKI,0.00031496062992130905,32.10733333333333
2013-05-31,31.67,31.995,31.32,31.32,630519,PKI,-0.013853904282115909,32.03333333333333
2013-06-03,31.46,31.91,31.3401,31.86,1504156,PKI,0.0172413793103448,31.99233333333333
