date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,106.98,108.34,106.98,108.3,525311,PRGO,,
2013-02-11,109.5,111.89,109.02,111.4,1345563,PRGO,0.028624192059095187,
2013-02-12,111.6,112.38,111.35,111.55,857423,PRGO,0.001346499102333855,
2013-02-13,111.44,112.28,111.38,111.72,534538,PRGO,0.0015239802779023013,
2013-02-14,111.69,113.29,111.37,113.16,750916,PRGO,0.0128893662728249,
2013-02-15,113.16,113.64,112.6901,113.58,686881,PRGO,0.003711558854718997,
2013-02-19,113.8,115.0,113.8,114.73,618402,PRGO,0.010125022010917466,
2013-02-20,115.1,115.43,114.13,114.13,431488,PRGO,-0.005229669659199934,
2013-02-21,113.61,114.48,112.77,113.58,643398,PRGO,-0.004819065977394175,
2013-02-22,114.14,114.5,112.85,113.31,389927,PRGO,-0.0023771790808240537,
2013-02-25,115.71,116.9,114.6,114.6,1060638,PRGO,0.011384696849351266,
2013-02-26,114.7,115.09,113.33,113.67,635596,PRGO,-0.008115183246073234,
2013-02-27,113.39,114.6144,112.45,114.14,397416,PRGO,0.004134776106272533,
2013-02-28,114.32,114.88,113.14,113.17,744910,PRGO,-0.008498335377606438,
2013-03-01,113.25,113.66,112.3,113.05,659798,PRGO,-0.0010603516833083374,
2013-03-04,113.2,114.67,113.2,114.6,694426,PRGO,0.013710747456877464,
2013-03-05,115.28,116.2475,114.02,114.985,432044,PRGO,0.0033595113438045824,
2013-03-06,115.13,116.72,115.13,116.69,734339,PRGO,0.014828021046223406,
2013-03-07,116.1,116.28,115.15,115.44,574184,PRGO,-0.010712143285628589,
2013-03-08,115.91,116.03,115.02,115.69,405285,PRGO,0.0021656271656271655,
2013-03-11,115.84,116.45,115.465,116.4,559494,PRGO,0.0061370905004754775,
2013-03-12,116.25,117.75,115.63,117.6,587101,PRGO,0.010309278350515367,
2013-03-13,117.18,117.41,116.3001,117.02,364438,PRGO,-0.004931972789115632,
2013-03-14,117.19,117.7,116.49,116.7,615547,PRGO,-0.002734575286275792,
2013-03-15,116.09,116.78,115.97,116.22,753010,PRGO,-0.004113110539845793,
2013-03-18,115.51,117.23,115.175,117.2,497230,PRGO,0.00843228360006887,
2013-03-19,117.46,117.745,116.87,117.3,475486,PRGO,0.0008532423208190641,
2013-03-20,118.19,118.37,117.05,117.65,541518,PRGO,0.002983802216538862,
2013-03-21,117.16,118.37,117.14,118.27,598176,PRGO,0.005269868253293585,
2013-03-22,117.88,118.74,117.57,118.25,359105,PRGO,-0.00016910459118961717,114.8035
2013-03-25,118.6,118.6,117.42,118.08,430197,PRGO,-0.0014376321353065684,115.1295
2013-03-26,118.34,118.6,117.415,117.54,446203,PRGO,-0.00457317073170725,115.33416666666668
2013-03-27,117.15,117.82,116.42,117.17,349190,PRGO,-0.003147864556746678,115.5215
2013-03-28,117.35,118.86,117.09,118.74,702214,PRGO,0.013399334300588829,115.7555
2013-04-01,118.42,119.33,117.77,118.87,573612,PRGO,0.0010948290382348802,115.94583333333334
2013-04-02,119.07,120.94,119.07,119.74,963216,PRGO,0.007318919828383868,116.15116666666667
2013-04-03,119.43,119.85,117.76,118.5,357129,PRGO,-0.010355770836813053,116.27683333333333
2013-04-04,118.35,118.73,117.49,118.51,245169,PRGO,8.438818565405161e-05,116.42283333333333
2013-04-05,117.35,118.21,116.68,118.05,307438,PRGO,-0.0038815289848958563,116.57183333333333
2013-04-08,117.65,118.7,116.7,118.7,346628,PRGO,0.005506141465480777,116.75150000000001
2013-04-09,118.37,118.88,117.87,118.39,373505,PRGO,-0.0026116259477675,116.87783333333333
2013-04-10,118.75,119.74,118.085,119.68,368029,PRGO,0.010896190556634903,117.07816666666666
2013-04-11,119.93,120.085,119.28,119.74,418942,PRGO,0.0005013368983956221,117.26483333333334
2013-04-12,120.13,120.49,119.33,119.92,367189,PRGO,0.0015032570569567967,117.48983333333334
2013-04-15,119.76,120.48,117.1,117.3,530471,PRGO,-0.021847898599066082,117.63149999999999
2013-04-16,117.79,118.66,116.38,118.41,521550,PRGO,0.009462915601023013,117.7585
2013-04-17,117.52,117.98,116.1825,117.848,473108,PRGO,-0.004746220758381874,117.85393333333333
2013-04-18,117.4,117.87,116.62,117.7,335451,PRGO,-0.0012558549996605469,117.8876
2013-04-19,117.16,119.56,117.16,119.47,369927,PRGO,0.015038232795242107,118.02193333333335
2013-04-22,120.47,120.89,118.87,119.76,659956,PRGO,0.002427387628693448,118.1576
