date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,155.5,157.59,155.5,157.4,379613,PSA,,
2013-02-11,157.46,157.95,156.7,156.85,421306,PSA,-0.003494282083862842,
2013-02-12,157.04,157.68,156.38,157.13,794460,PSA,0.0017851450430347538,
2013-02-13,157.22,157.33,155.54,156.08,739185,PSA,-0.006682364920766136,
2013-02-14,155.66,155.89,154.1,154.2,889790,PSA,-0.012045105074321013,
2013-02-15,152.83,152.83,150.0,151.26,1676446,PSA,-0.019066147859922167,
2013-02-19,150.86,152.75,150.86,152.72,694123,PSA,0.009652254396403596,
2013-02-20,152.39,154.36,152.39,152.46,634976,PSA,-0.0017024620220009881,
2013-02-21,152.56,152.74,151.21,152.01,617738,PSA,-0.0029515938606848816,
2013-02-22,152.57,153.85,152.02,152.41,530961,PSA,0.0026314058285639478,
2013-02-25,152.89,153.12,149.98,149.98,461872,PSA,-0.015943835706318528,
2013-02-26,150.76,151.4,149.79,151.14,562934,PSA,0.007734364581944237,
2013-02-27,150.91,153.04,150.61,151.84,513926,PSA,0.004631467513563697,
2013-02-28,152.18,152.74,150.99,151.21,1259453,PSA,-0.004149104320337167,
2013-03-01,150.94,152.31,150.43,151.95,428716,PSA,0.004893856226439923,
2013-03-04,151.705,153.39,151.7,152.75,579396,PSA,0.005264889766370592,
2013-03-05,153.15,154.18,152.65,153.98,492598,PSA,0.00805237315875607,
2013-03-06,154.32,154.62,152.17,152.59,434333,PSA,-0.00902714638264701,
2013-03-07,152.5,152.77,150.2475,150.46,900231,PSA,-0.01395897503112914,
2013-03-08,150.56,150.72,148.77,150.47,749892,PSA,6.646284726831653e-05,
2013-03-11,149.13,149.68,148.75,148.91,603244,PSA,-0.010367515119292897,
2013-03-12,148.89,149.2,146.93,147.0,975179,PSA,-0.012826539520515726,
2013-03-13,147.03,147.21,146.12,146.68,767965,PSA,-0.0021768707482992733,
2013-03-14,146.83,147.59,146.79,147.25,776879,PSA,0.003886010362694254,
2013-03-15,147.11,148.32,146.45,148.25,1715010,PSA,0.006791171477079796,
2013-03-18,147.73,148.75,147.5,148.39,860831,PSA,0.0009443507588531964,
2013-03-19,148.66,150.5,148.28,149.85,958500,PSA,0.009838937933823089,
2013-03-20,150.08,151.18,149.55,151.09,528943,PSA,0.008274941608275002,
2013-03-21,150.64,152.52,150.33,150.77,650420,PSA,-0.0021179429479117953,
2013-03-22,151.0,151.5,150.07,150.71,592274,PSA,-0.00039795715327984525,151.593
2013-03-25,151.14,151.73,149.94,150.25,489988,PSA,-0.003052219494393258,151.35466666666667
2013-03-26,150.84,151.99,150.642,151.45,375378,PSA,0.007986688851913401,151.17466666666667
2013-03-27,150.52,151.38,150.31,151.2,366394,PSA,-0.001650709805216243,150.97699999999998
2013-03-28,151.47,152.44,150.905,152.32,484636,PSA,0.007407407407407438,150.85166666666666
2013-04-01,152.18,152.4599,151.11,152.39,400539,PSA,0.000459558823529367,150.7913333333333
2013-04-02,152.88,153.43,152.36,152.92,579246,PSA,0.003477918498589154,150.84666666666666
2013-04-03,153.38,153.72,151.83,152.22,595118,PSA,-0.0045775568924927325,150.82999999999998
2013-04-04,152.49,154.54,151.94,154.38,611114,PSA,0.014189988175009832,150.89399999999998
2013-04-05,153.06,155.43,152.91,155.1,500644,PSA,0.004663816556548768,150.99699999999999
2013-04-08,154.96,156.86,154.42,156.73,646416,PSA,0.010509348807221118,151.14100000000002
2013-04-09,156.19,157.36,155.7133,157.15,541100,PSA,0.0026797677534614686,151.38
2013-04-10,157.62,158.55,156.77,157.09,394048,PSA,-0.00038180082723514015,151.57833333333332
2013-04-11,157.44,159.61,156.99,158.56,709030,PSA,0.009357693042205097,151.80233333333337
2013-04-12,158.42,158.64,157.48,158.51,354424,PSA,-0.0003153380423815046,152.04566666666668
2013-04-15,157.82,158.33,155.01,155.05,726212,PSA,-0.021828275818560214,152.14899999999997
