date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,51.0,51.41,50.83,51.41,375042,REG,,
2013-02-11,50.96,51.4,50.96,51.2,407963,REG,-0.004084808403034308,
2013-02-12,51.18,51.605,51.14,51.55,579125,REG,0.006835937499999889,
2013-02-13,51.72,51.93,51.44,51.57,403329,REG,0.0003879728419011276,
2013-02-14,51.56,51.71,51.31,51.59,277635,REG,0.00038782237735123377,
2013-02-15,51.67,51.89,51.495,51.7,421826,REG,0.002132196162046897,
2013-02-19,51.77,51.98,51.64,51.98,574027,REG,0.005415860735009556,
2013-02-20,51.85,52.38,51.81,51.81,500607,REG,-0.0032704886494804657,
2013-02-21,51.73,51.8,50.83,50.89,430269,REG,-0.017757189731712055,
2013-02-22,51.19,51.61,51.05,51.51,320186,REG,0.01218314010611117,
2013-02-25,51.75,51.805,50.36,50.36,513231,REG,-0.022325761987963474,
2013-02-26,50.6,51.06,50.28,50.98,562795,REG,0.012311358220810116,
2013-02-27,50.98,51.99,50.96,51.48,553955,REG,0.009807767752059632,
2013-02-28,51.5,52.05,51.43,51.88,1126152,REG,0.007770007770007881,
2013-03-01,51.66,52.17,51.23,51.87,757401,REG,-0.00019275250578267377,
2013-03-04,51.8,52.51,51.75,52.38,398461,REG,0.009832272990167826,
2013-03-05,52.55,53.3,52.28,53.27,456015,REG,0.016991218022145867,
2013-03-06,53.28,53.49,52.91,53.44,457246,REG,0.003191289656466953,
2013-03-07,53.36,53.5,53.04,53.25,497580,REG,-0.003555389221556844,
2013-03-08,53.45,53.55,53.0,53.1,383151,REG,-0.0028169014084506775,
2013-03-11,53.06,53.11,52.63,52.75,890431,REG,-0.006591337099811702,
2013-03-12,52.79,52.84,52.4,52.61,467885,REG,-0.002654028436018968,
2013-03-13,52.68,52.87,52.335,52.7,819860,REG,0.001710701387568968,
2013-03-14,52.79,53.18,52.77,52.95,309938,REG,0.004743833017077799,
2013-03-15,52.74,52.86,52.42,52.71,741432,REG,-0.0045325779036827565,
2013-03-18,52.39,52.82,52.275,52.67,561937,REG,-0.0007588692847656829,
2013-03-19,52.73,52.8615,52.2,52.51,417451,REG,-0.003037782418834321,
2013-03-20,52.68,52.79,52.0,52.3,1586365,REG,-0.0039992382403351906,
