date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,7.96,7.96,7.9,7.93,8908172,RF,,
2013-02-11,7.95,7.97,7.87,7.94,17158581,RF,0.001261034047919379,
2013-02-12,7.96,7.97,7.87,7.93,11297091,RF,-0.0012594458438288003,
2013-02-13,7.96,7.97,7.84,7.85,18352400,RF,-0.01008827238335436,
2013-02-14,7.82,7.91,7.81,7.91,12751865,RF,0.007643312101910891,
2013-02-15,7.92,7.95,7.82,7.85,10253696,RF,-0.007585335018963401,
2013-02-19,7.86,7.97,7.85,7.96,12233762,RF,0.014012738853503227,
2013-02-20,7.92,7.94,7.7,7.71,14895965,RF,-0.031407035175879394,
2013-02-21,7.68,7.75,7.54,7.59,23973510,RF,-0.015564202334630364,
2013-02-22,7.66,7.78,7.63,7.77,15393733,RF,0.02371541501976281,
2013-02-25,7.83,7.855,7.48,7.48,18349130,RF,-0.03732303732303722,
2013-02-26,7.53,7.57,7.42,7.5,15518098,RF,0.0026737967914437933,
2013-02-27,7.495,7.66,7.47,7.62,11431133,RF,0.016000000000000014,
2013-02-28,7.64,7.72,7.56,7.65,11555173,RF,0.003937007874015781,
2013-03-01,7.6,7.72,7.55,7.71,17651369,RF,0.007843137254901909,
2013-03-04,7.67,7.88,7.65,7.85,18824698,RF,0.0181582360570687,
2013-03-05,7.92,8.0,7.88,7.92,17692680,RF,0.008917197452229336,
2013-03-06,7.98,8.2,7.97,8.04,28197554,RF,0.015151515151515053,
2013-03-07,8.07,8.24,8.0495,8.22,14107379,RF,0.022388059701492727,
2013-03-08,8.31,8.36,8.05,8.15,23946334,RF,-0.008515815085158186,
2013-03-11,8.15,8.345,8.14,8.31,12761225,RF,0.019631901840490813,
2013-03-12,8.28,8.33,8.12,8.13,16614726,RF,-0.02166064981949455,
2013-03-13,8.14,8.27,8.05,8.25,15805724,RF,0.014760147601475917,
2013-03-14,8.29,8.34,8.16,8.31,22823885,RF,0.0072727272727273334,
2013-03-15,8.33,8.42,8.29,8.36,28257233,RF,0.0060168471720817,
2013-03-18,8.27,8.34,8.21,8.27,10948049,RF,-0.010765550239234433,
2013-03-19,8.31,8.34,8.22,8.29,15083064,RF,0.0024183796856105896,
2013-03-20,8.37,8.44,8.32,8.4,13409774,RF,0.013268998793727529,
2013-03-21,8.36,8.39,8.21,8.22,10010692,RF,-0.021428571428571394,
