date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,35.64,35.73,35.3,35.46,957605,RHI,,
2013-02-11,35.5,35.57,35.32,35.36,850247,RHI,-0.002820078962210982,
2013-02-12,35.38,35.4799,35.19,35.31,1021587,RHI,-0.0014140271493211867,
2013-02-13,35.48,35.61,35.13,35.2,988787,RHI,-0.003115264797507772,
2013-02-14,35.05,35.25,34.91,35.2,1317882,RHI,0.0,
2013-02-15,35.28,35.98,35.194,35.52,974419,RHI,0.009090909090909097,
2013-02-19,35.54,37.15,35.54,36.73,2897940,RHI,0.034065315315315134,
2013-02-20,36.73,36.83,35.46,35.46,1423305,RHI,-0.03457664034848887,
2013-02-21,35.13,35.23,34.65,34.72,1351503,RHI,-0.020868584320361025,
2013-02-22,34.92,35.54,34.88,35.54,1195380,RHI,0.023617511520737336,
2013-02-25,35.88,36.07,34.79,34.8,1283459,RHI,-0.02082160945413624,
2013-02-26,34.98,35.13,34.65,34.96,888692,RHI,0.004597701149425394,
2013-02-27,34.82,35.67,34.79,35.5,868695,RHI,0.01544622425629288,
2013-02-28,35.49,35.96,35.35,35.55,989496,RHI,0.001408450704225272,
2013-03-01,35.28,35.45,34.89,35.17,1693400,RHI,-0.010689170182840942,
2013-03-04,35.05,35.16,34.67,34.93,1113162,RHI,-0.006823997725334148,
2013-03-05,35.07,35.78,34.98,35.67,1249151,RHI,0.021185227598053306,
2013-03-06,35.86,36.1825,35.7091,35.89,737957,RHI,0.006167647883375353,
2013-03-07,35.88,35.99,35.66,35.94,426350,RHI,0.0013931457230425511,
2013-03-08,36.2,36.4999,36.0,36.37,727310,RHI,0.011964385086254862,
2013-03-11,36.25,36.53,36.23,36.39,608439,RHI,0.0005499037668408889,
2013-03-12,36.27,36.37,35.654,35.84,1360083,RHI,-0.015114042319318417,
2013-03-13,35.88,36.22,35.7,36.08,484113,RHI,0.006696428571428428,
2013-03-14,36.23,36.375,35.97,36.3,599443,RHI,0.006097560975609725,
2013-03-15,36.11,36.13,35.67,35.75,1645360,RHI,-0.015151515151515074,
2013-03-18,35.43,35.76,34.67,35.52,867270,RHI,-0.006433566433566346,
2013-03-19,35.69,35.87,35.43,35.76,1047889,RHI,0.006756756756756612,
2013-03-20,35.96,36.78,35.96,36.67,1095714,RHI,0.02544742729306498,
2013-03-21,36.42,36.815,36.25,36.26,1260358,RHI,-0.011180801745295982,
2013-03-22,36.45,36.57,36.15,36.39,654076,RHI,0.0035852178709322273,35.67466666666667
2013-03-25,36.46,36.72,36.3099,36.48,594375,RHI,0.0024732069249792884,35.708666666666666
2013-03-26,36.59,36.98,36.5,36.98,787135,RHI,0.013706140350877194,35.76266666666667
2013-03-27,36.7,37.06,36.51,37.03,728767,RHI,0.0013520822065982766,35.82
2013-03-28,37.13,37.59,36.92,37.53,960521,RHI,0.013502565487442613,35.897666666666666
2013-04-01,37.53,37.75,37.19,37.37,1344346,RHI,-0.004263256061817311,35.97
2013-04-02,37.58,37.59,36.93,37.03,642779,RHI,-0.009098207118009,36.02033333333334
2013-04-03,37.0,37.1075,36.28,36.67,984807,RHI,-0.009721847150958666,36.01833333333333
2013-04-04,36.62,36.98,36.28,36.48,1071859,RHI,-0.0051813471502591985,36.05233333333333
2013-04-05,35.89,35.92,35.19,35.4,1718107,RHI,-0.029605263157894694,36.075
