date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,45.61,45.84,45.2,45.31,543638,RJF,,
2013-02-11,45.38,45.53,45.1,45.32,456554,RJF,0.00022070183182516023,
2013-02-12,45.39,45.55,45.29,45.41,540418,RJF,0.0019858781994703508,
2013-02-13,45.58,45.82,45.29,45.58,506720,RJF,0.003743668795419549,
2013-02-14,45.42,45.71,45.211,45.6,484790,RJF,0.0004387889425187171,
2013-02-15,45.63,45.63,45.29,45.4,798341,RJF,-0.004385964912280764,
2013-02-19,45.51,46.3,45.463,46.23,792432,RJF,0.018281938325991152,
2013-02-20,46.19,46.36,45.36,45.39,547970,RJF,-0.018170019467877923,
2013-02-21,45.37,45.45,44.406,44.6,768281,RJF,-0.01740471469486669,
2013-02-22,44.89,45.19,44.7,44.93,525662,RJF,0.007399103139013414,
2013-02-25,45.29,45.4086,43.9,43.9,506191,RJF,-0.02292454929890944,
2013-02-26,44.12,44.2225,43.05,43.83,973390,RJF,-0.0015945330296127627,
2013-02-27,43.75,44.39,43.73,44.24,424237,RJF,0.00935432352270143,
2013-02-28,44.26,44.37,43.87,43.88,439879,RJF,-0.008137432188065086,
2013-03-01,43.48,43.68,43.02,43.39,865850,RJF,-0.011166818596171421,
2013-03-04,43.21,43.71,42.99,43.68,655613,RJF,0.006683567642313877,
2013-03-05,43.98,45.05,43.892,44.76,775459,RJF,0.024725274725274686,
2013-03-06,44.99,45.26,44.69,45.2,544767,RJF,0.009830205540661413,
2013-03-07,45.39,46.08,45.1,46.04,946392,RJF,0.018584070796460093,
2013-03-08,46.32,46.735,46.14,46.68,820395,RJF,0.013900955690703749,
2013-03-11,46.71,47.11,46.38,46.96,630913,RJF,0.005998286203941755,
2013-03-12,46.84,46.87,46.52,46.71,486399,RJF,-0.005323679727427598,
2013-03-13,46.85,47.32,46.6,47.23,359306,RJF,0.01113251980303995,
2013-03-14,47.39,47.59,47.24,47.55,615361,RJF,0.006775354647469835,
2013-03-15,47.55,47.83,47.33,47.82,862639,RJF,0.00567823343848587,
2013-03-18,47.03,47.61,46.98,47.38,550306,RJF,-0.009201171058134625,
