date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,90.71,91.37,90.59,90.98,752535,ROK,,
2013-02-11,90.81,91.16,90.23,90.93,432941,ROK,-0.0005495713343591686,
2013-02-12,91.14,91.55,90.9,91.34,757759,ROK,0.004508962938524101,
2013-02-13,91.34,91.99,91.32,91.45,720500,ROK,0.0012042916575432387,
2013-02-14,89.92,90.8786,89.33,90.85,839796,ROK,-0.006560962274467015,
2013-02-15,91.01,91.78,90.54,90.76,719495,ROK,-0.0009906439185469367,
2013-02-19,91.17,91.84,90.55,90.85,1044646,ROK,0.000991626267077889,
2013-02-20,90.98,91.423,89.44,89.55,1136325,ROK,-0.014309301045679661,
2013-02-21,89.14,89.3395,88.18,88.71,1016629,ROK,-0.009380234505862685,
2013-02-22,89.285,90.48,89.285,90.06,938002,ROK,0.015218126479540172,
2013-02-25,90.41,90.72,88.13,88.16,1003068,ROK,-0.02109704641350217,
2013-02-26,88.72,89.09,87.57,88.78,775993,ROK,0.007032667876588073,
2013-02-27,88.69,90.74,88.515,90.38,683923,ROK,0.0180220770443793,
2013-02-28,90.42,91.41,89.95,90.34,802410,ROK,-0.0004425757911041386,
2013-03-01,89.72,90.45,88.38,89.28,985297,ROK,-0.011733451405800335,
2013-03-04,88.92,88.96,87.12,88.09,1170109,ROK,-0.013328853046594957,
2013-03-05,88.94,90.29,88.93,89.51,1084769,ROK,0.016119877398115583,
2013-03-06,89.95,90.33,89.46,89.66,740766,ROK,0.0016757904144787338,
2013-03-07,89.8,90.93,89.77,90.79,675315,ROK,0.012603167521748938,
2013-03-08,90.32,90.77,89.29,90.6,980022,ROK,-0.002092741491353805,
2013-03-11,90.28,90.52,89.916,90.06,917100,ROK,-0.0059602649006621645,
2013-03-12,90.0,90.0,88.21,88.54,1188408,ROK,-0.016877637130801645,
2013-03-13,88.41,88.965,87.71,88.91,815453,ROK,0.004178902191099959,
2013-03-14,89.2,89.38,88.16,89.37,1058609,ROK,0.005173771229333123,
2013-03-15,89.07,89.37,87.9,88.54,1393211,ROK,-0.009287232852187516,
2013-03-18,87.58,88.27,86.97,87.45,846002,ROK,-0.012310819968375913,
2013-03-19,87.63,88.0,86.08,86.71,749486,ROK,-0.008461978273299132,
2013-03-20,87.3,87.7599,86.43,86.85,1053079,ROK,0.0016145773267212614,
2013-03-21,86.89,87.45,85.21,86.16,1517103,ROK,-0.007944732297063878,
2013-03-22,86.46,86.63,85.61,85.94,1005344,ROK,-0.002553389043639727,89.32
2013-03-25,86.19,86.39,84.565,85.18,902601,ROK,-0.008843379101698754,89.12666666666668
2013-03-26,85.34,85.57,84.18,84.85,1344598,ROK,-0.0038741488612351782,88.924
2013-03-27,84.09,85.215,83.58,85.04,1005418,ROK,0.0022392457277550025,88.714
2013-03-28,85.32,86.44,84.76,86.35,957891,ROK,0.015404515522107103,88.54400000000001
2013-04-01,86.29,86.39,84.581,84.66,616742,ROK,-0.019571511291256487,88.33766666666665
2013-04-02,85.08,85.26,83.94,84.33,1052197,ROK,-0.0038979447200566775,88.12333333333335
2013-04-03,84.14,84.85,83.132,84.59,1536506,ROK,0.0030831258152496754,87.91466666666666
2013-04-04,84.75,87.24,84.586,86.95,1839728,ROK,0.027899278874571453,87.828
2013-04-05,85.77,88.26,85.23,87.99,1579332,ROK,0.011960897067279954,87.804
2013-04-08,87.95,88.02,86.07,87.09,1240081,ROK,-0.010228435049437339,87.705
2013-04-09,87.13,88.14,86.7742,87.57,847715,ROK,0.005511539786427716,87.68533333333333
2013-04-10,87.66,88.82,87.29,88.8,841195,ROK,0.014045906132237114,87.68599999999999
2013-04-11,88.75,89.79,88.58,88.99,1144358,ROK,0.0021396396396396143,87.63966666666666
2013-04-12,88.61,88.64,87.43,87.63,735052,ROK,-0.015282616024272385,87.54933333333334
2013-04-15,86.99,87.02,83.3,83.33,1592185,ROK,-0.04906995321237016,87.35099999999998
2013-04-16,84.06,84.92,83.51,84.76,975953,ROK,0.017160686427457182,87.24
2013-04-17,83.93,84.01,83.21,83.82,813561,ROK,-0.011090136857008163,87.05033333333334
2013-04-18,84.03,84.57,82.48,82.87,883305,ROK,-0.011333810546408836,86.82400000000001
2013-04-19,83.06,83.23,82.25,83.18,917856,ROK,0.0037407988415590955,86.57033333333334
2013-04-22,83.18,84.38,82.03,84.02,988762,ROK,0.010098581389757022,86.35099999999998
2013-04-23,84.23,85.08,83.72,85.04,977008,ROK,0.012139966674601408,86.18366666666665
2013-04-24,85.12,88.0,84.91,86.3,1722773,ROK,0.014816556914393118,86.109
2013-04-25,86.23,87.06,85.105,86.85,1643791,ROK,0.006373117033603676,86.04033333333334
2013-04-26,86.9,87.05,84.68,84.87,965175,ROK,-0.02279792746113978,85.89033333333333
2013-04-29,85.21,85.48,84.47,84.85,714013,ROK,-0.00023565453045846862,85.76733333333331
2013-04-30,84.89,85.35,83.82,84.78,1004372,ROK,-0.0008249852681201318,85.67833333333333
2013-05-01,84.48,84.495,82.21,82.32,1156349,ROK,-0.02901627742392083,85.532
2013-05-02,83.06,83.94,82.74,83.0,1106912,ROK,0.008260447035957323,85.40366666666667
2013-05-03,84.32,85.81,84.16,85.09,913592,ROK,0.025180722891566306,85.368
2013-05-06,84.98,86.62,84.61,86.21,842775,ROK,0.01316253378775403,85.377
2013-05-07,86.53,88.1,86.21,87.91,1149200,ROK,0.019719290105556234,85.468
2013-05-08,87.74,88.78,87.4,88.75,702597,ROK,0.009555226936639785,85.598
2013-05-09,87.92,88.79,87.71,87.95,717438,ROK,-0.009014084507042221,85.695
2013-05-10,87.96,88.42,87.57,87.92,524737,ROK,-0.0003411028993746576,85.74733333333333
2013-05-13,87.68,88.72,87.53,88.67,883035,ROK,0.008530482256596906,85.88100000000001
2013-05-14,88.69,90.14,88.5373,89.99,844508,ROK,0.014886658396300814,86.06966666666666
2013-05-15,89.57,89.94,88.95,89.65,652236,ROK,-0.0037781975775084925,86.23833333333333
2013-05-16,89.18,90.2,89.17,89.42,714521,ROK,-0.0025655326268823643,86.32066666666667
2013-05-17,89.65,90.96,89.56,90.95,741357,ROK,0.01711026615969583,86.41933333333333
2013-05-20,90.61,91.67,90.3,90.91,539382,ROK,-0.0004398020890599918,86.54666666666667
2013-05-21,91.05,91.5,90.12,90.69,549627,ROK,-0.002419975800241985,86.65066666666667
2013-05-22,90.69,90.995,87.941,88.59,930641,ROK,-0.023155805491233812,86.64366666666666
2013-05-23,87.97,88.58,87.49,87.85,777677,ROK,-0.00835308725589806,86.60566666666666
2013-05-24,87.41,87.72,86.65,87.41,624496,ROK,-0.005008537279453588,86.59833333333334
2013-05-28,89.34,89.4,87.89,88.54,543705,ROK,0.012927582656446742,86.772
2013-05-29,88.15,89.07,87.9,87.94,467459,ROK,-0.006776598147729935,86.878
2013-05-30,88.05,89.4,87.93,88.6,422687,ROK,0.007505117125312675,87.03733333333334
2013-05-31,88.21,90.27,87.66,88.02,1070259,ROK,-0.006546275395033841,87.209
2013-06-03,88.41,88.76,86.709,88.19,856678,ROK,0.0019313792319927484,87.376
2013-06-04,88.3,89.07,87.07,87.49,686355,ROK,-0.007937407869372977,87.49166666666666
2013-06-05,87.16,87.57,85.45,85.65,597750,ROK,-0.021030974968567713,87.512
2013-06-06,85.66,86.18,84.981,85.4,846079,ROK,-0.002918855808523059,87.482
2013-06-07,85.97,86.9651,85.69,86.37,1239322,ROK,0.011358313817330197,87.466
2013-06-10,86.84,86.98,86.16,86.4,690364,ROK,0.00034734282737062795,87.51700000000001
2013-06-11,85.52,85.96,85.11,85.31,639848,ROK,-0.01261574074074078,87.53233333333333
2013-06-12,86.1,86.19,84.07,84.26,680188,ROK,-0.012308052983237571,87.515
2013-06-13,84.31,86.77,83.26,86.64,760621,ROK,0.028245905530500773,87.659
2013-06-14,86.97,87.1,86.04,86.69,748120,ROK,0.0005771006463526911,87.782
2013-06-17,87.24,87.33,85.71,86.87,743928,ROK,0.002076364055831201,87.84133333333334
2013-06-18,86.9,88.2,86.42,88.11,601649,ROK,0.014274202831817599,87.90466666666667
2013-06-19,88.01,88.4499,86.86,86.88,510550,ROK,-0.013959822948587039,87.87033333333332
2013-06-20,85.84,85.94,83.32,83.59,1171200,ROK,-0.03786832412523011,87.69833333333332
2013-06-21,84.22,84.8,83.19,83.85,822272,ROK,0.003110419906687294,87.56166666666667
2013-06-24,82.79,82.9,80.595,81.81,1161826,ROK,-0.02432915921288005,87.35799999999999
2013-06-25,82.67,83.64,82.3,83.27,850563,ROK,0.017846229067351102,87.17799999999998
2013-06-26,84.12,84.45,83.44,83.48,824594,ROK,0.0025219166566591567,86.961
2013-06-27,84.31,84.64,83.96,84.21,879981,ROK,0.008744609487302225,86.77966666666666
2013-06-28,83.84,84.375,83.13,83.14,1835272,ROK,-0.012706329414558761,86.57033333333334
2013-07-01,84.11,85.19,83.59,84.99,1106745,ROK,0.022251623767139697,86.37166666666667
2013-07-02,84.81,85.31,84.19,84.81,1008705,ROK,-0.002117896223084982,86.16833333333332
2013-07-03,84.54,85.23,84.0,84.79,527563,ROK,-0.00023582124749435231,85.97166666666666
