date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,69.34,70.12,68.98,69.49,942111,SBAC,,
2013-02-11,69.47,69.62,69.18,69.28,690424,SBAC,-0.0030220175564828573,
2013-02-12,69.3,69.37,68.191,68.271,2293381,SBAC,-0.014564087759815247,
2013-02-13,68.21,68.28,66.911,67.45,5176039,SBAC,-0.012025603843505997,
2013-02-14,67.08,68.5,66.68,68.11,4317220,SBAC,0.0097850259451445,
2013-02-15,68.08,69.21,68.0301,68.69,2429342,SBAC,0.00851563647041548,
2013-02-19,68.99,68.99,67.55,67.9,2041575,SBAC,-0.011500946280390043,
2013-02-20,67.88,68.16,67.4,67.73,1942062,SBAC,-0.002503681885125209,
2013-02-21,67.47,68.22,67.27,67.75,1599057,SBAC,0.00029529012254534207,
2013-02-22,68.09,70.88,68.09,70.0,4846405,SBAC,0.033210332103321034,
2013-02-25,70.31,71.5,70.06,70.13,3675948,SBAC,0.0018571428571427923,
2013-02-26,70.18,70.86,69.92,70.41,1446518,SBAC,0.003992585198916315,
2013-02-27,70.36,71.165,70.34,70.72,2604347,SBAC,0.004402783695497831,
2013-02-28,70.71,71.67,70.63,71.12,2895797,SBAC,0.005656108597285148,
2013-03-01,70.54,71.66,70.47,71.63,2168761,SBAC,0.007170978627671413,
2013-03-04,71.62,72.55,71.27,72.41,2452147,SBAC,0.010889292196007276,
2013-03-05,72.54,73.33,72.42,73.03,2679749,SBAC,0.008562353266123526,
2013-03-06,73.99,74.04,72.62,72.99,2017944,SBAC,-0.0005477201150213098,
2013-03-07,73.08,73.32,72.58,73.14,1471628,SBAC,0.002055076037813477,
2013-03-08,73.37,73.536,72.48,73.32,1794384,SBAC,0.002461033634126232,
2013-03-11,73.14,73.6,72.68,73.06,1355103,SBAC,-0.003546099290780018,
2013-03-12,72.66,73.23,72.1,72.38,1718808,SBAC,-0.009307418560087693,
2013-03-13,72.26,72.51,72.0,72.2,1409024,SBAC,-0.0024868748273002574,
2013-03-14,72.43,72.58,71.75,71.87,1377212,SBAC,-0.0045706371191135495,
2013-03-15,71.71,71.91,71.02,71.22,3440438,SBAC,-0.00904410741616816,
2013-03-18,70.7,71.05,70.29,70.75,1902217,SBAC,-0.006599269868014587,
2013-03-19,70.88,71.01,70.28,70.65,1123572,SBAC,-0.0014134275618373755,
2013-03-20,70.76,71.35,70.57,71.13,1523613,SBAC,0.006794055201698368,
2013-03-21,70.93,71.4599,70.8201,71.09,1541956,SBAC,-0.0005623506256149591,
2013-03-22,71.45,72.68,71.29,71.9,2218586,SBAC,0.011394007596005095,70.66069999999999
2013-03-25,72.19,72.21,71.17,71.82,1081894,SBAC,-0.00111265646731589,70.73836666666668
2013-03-26,72.21,72.35,71.39,71.82,1361065,SBAC,0.0,70.82303333333333
2013-03-27,71.47,72.4,71.47,72.29,1768559,SBAC,0.006544138123085674,70.95700000000001
2013-03-28,72.25,72.54,71.36,72.0,1481331,SBAC,-0.004011619864435001,71.10866666666668
2013-04-01,72.15,72.61,71.85,72.1,1065951,SBAC,0.00138888888888881,71.24166666666666
2013-04-02,72.35,72.845,72.3,72.58,1142126,SBAC,0.006657420249653315,71.37133333333333
2013-04-03,72.75,72.75,71.5,72.09,1203739,SBAC,-0.00675117112152101,71.51100000000001
2013-04-04,72.33,73.02,71.92,72.49,1845917,SBAC,0.0055486197808294,71.66966666666667
2013-04-05,71.99,73.04,71.81,72.94,1423096,SBAC,0.006207752793488797,71.84266666666667
2013-04-08,72.99,74.38,72.87,73.72,1934748,SBAC,0.010693720866465604,71.96666666666667
2013-04-09,73.97,74.335,73.28,73.88,1272009,SBAC,0.0021703743895821566,72.09166666666667
2013-04-10,74.18,75.125,74.0,75.01,1665480,SBAC,0.01529507309149986,72.24500000000002
2013-04-11,74.98,75.57,74.92,75.128,1118142,SBAC,0.0015731235835221302,72.39193333333333
2013-04-12,75.19,75.56,74.94,75.49,1005932,SBAC,0.004818443190288505,72.53760000000001
2013-04-15,75.2,75.86,74.16,74.42,2086525,SBAC,-0.01417406278977339,72.6306
2013-04-16,74.67,76.12,74.37,75.74,1907487,SBAC,0.017737167428110632,72.7416
2013-04-17,75.1,75.37,74.53,74.96,1231024,SBAC,-0.010298389226300518,72.80593333333333
2013-04-18,75.19,76.14,74.54,75.82,1657628,SBAC,0.011472785485592309,72.90026666666668
2013-04-19,75.79,76.67,75.79,76.07,2141409,SBAC,0.003297283038776049,72.99793333333332
2013-04-22,76.17,76.74,75.86,76.55,901664,SBAC,0.0063099776521625345,73.10560000000001
2013-04-23,76.7,77.18,76.38,76.95,1172651,SBAC,0.005225342913128749,73.23526666666666
2013-04-24,76.95,77.15,75.52,76.38,1518337,SBAC,-0.007407407407407503,73.3686
2013-04-25,76.83,78.87,76.66,78.09,3959005,SBAC,0.022388059701492644,73.56493333333334
2013-04-26,78.01,78.76,77.77,78.15,1220453,SBAC,0.0007683442182097871,73.77426666666665
2013-04-29,78.15,78.5,77.532,77.87,1313531,SBAC,-0.0035828534868842113,73.99593333333334
2013-04-30,79.1,79.9943,77.83,78.99,1912167,SBAC,0.014382945935533457,74.2706
2013-05-01,82.31,82.31,78.48,78.73,2258064,SBAC,-0.0032915558931509168,74.53993333333332
2013-05-02,78.77,79.73,78.6375,78.92,1463832,SBAC,0.0024133113171598847,74.7996
2013-05-03,79.43,79.95,79.01,79.26,1010566,SBAC,0.004308160162189602,75.07193333333335
2013-05-06,79.2,79.38,78.29,78.64,1004372,SBAC,-0.007822356800403791,75.2966
2013-05-07,78.64,79.51,78.56,79.31,1384721,SBAC,0.008519837232960348,75.54626666666667
2013-05-08,79.39,80.38,79.28,80.01,2248759,SBAC,0.008826125330979736,75.81926666666666
2013-05-09,80.47,80.47,79.45,79.67,1801460,SBAC,-0.004249468816397993,76.06526666666666
2013-05-10,79.9,80.315,79.718,79.94,1194280,SBAC,0.0033889795406049457,76.32993333333333
2013-05-13,79.99,80.38,79.71,79.99,530424,SBAC,0.0006254691018263343,76.59293333333333
2013-05-14,80.09,80.96,80.0,80.85,981882,SBAC,0.010751343917989742,76.8686
2013-05-15,80.64,81.07,80.4,80.73,738904,SBAC,-0.0014842300556585078,77.1566
2013-05-16,80.52,80.71,80.01,80.05,883021,SBAC,-0.00842313885792155,77.40859999999999
2013-05-17,80.82,80.84,79.78,80.78,1161885,SBAC,0.009119300437226783,77.66993333333333
2013-05-20,80.44,80.83,80.21,80.63,947966,SBAC,-0.00185689527110678,77.90026666666668
2013-05-21,80.5,80.86,80.36,80.69,1084930,SBAC,0.0007441398983009088,78.12726666666667
2013-05-22,80.58,80.663,77.37,78.52,2329553,SBAC,-0.026893047465609145,78.24426666666666
2013-05-23,77.68,78.84,77.47,78.6,1205294,SBAC,0.0010188487009678846,78.36
2013-05-24,78.39,78.67,77.77,78.13,868402,SBAC,-0.005979643765903294,78.44800000000001
2013-05-28,78.8,79.069,77.33,77.39,937034,SBAC,-0.009471393830794764,78.547
2013-05-29,77.37,77.385,74.82,75.39,2859977,SBAC,-0.02584313218762114,78.53533333333333
2013-05-30,75.56,76.71,75.28,75.74,1603347,SBAC,0.004642525533890361,78.56133333333334
2013-05-31,75.67,76.29,74.9,75.27,1305841,SBAC,-0.00620543966200157,78.54299999999999
2013-06-03,75.16,75.41,74.17,75.26,1470473,SBAC,-0.00013285505513472705,78.516
2013-06-04,74.9,76.37,74.9,75.46,1321689,SBAC,0.0026574541589156073,78.47966666666666
2013-06-05,75.1,76.04,74.58,74.85,1384321,SBAC,-0.008083752981712159,78.40966666666667
2013-06-06,74.92,76.18,74.64,76.13,1223624,SBAC,0.01710086840347363,78.40133333333333
2013-06-07,75.0,76.25,75.0,76.18,1125830,SBAC,0.0006567713122292312,78.33766666666665
2013-06-10,76.21,76.92,74.79,74.96,1861701,SBAC,-0.01601470202152813,78.23133333333334
2013-06-11,74.27,75.146,74.1,74.47,1806308,SBAC,-0.00653681963713974,78.118
2013-06-12,74.68,75.01,73.9285,73.98,2125585,SBAC,-0.006579830804350676,77.95100000000001
2013-06-13,73.75,75.76,73.28,75.63,2126440,SBAC,0.022303325223033136,77.84766666666665
2013-06-14,75.34,77.02,75.34,76.24,1459617,SBAC,0.008065582440830351,77.75833333333334
2013-06-17,76.72,77.22,75.22,75.61,946807,SBAC,-0.008263378803777486,77.63666666666667
