date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,75.6,76.19,75.4,76.14,767226,SRE,,
2013-02-11,76.02,76.138,75.57,75.76,599953,SRE,-0.004990806409246065,
2013-02-12,75.77,75.94,75.49,75.83,750838,SRE,0.0009239704329460556,
2013-02-13,75.8,76.39,75.58,76.33,608662,SRE,0.006593696426216537,
2013-02-14,76.2,76.5,75.31,75.35,1248983,SRE,-0.012838988602122415,
2013-02-15,75.41,75.71,75.2575,75.62,1025570,SRE,0.0035832780358329166,
2013-02-19,75.89,76.97,75.78,76.46,1147918,SRE,0.01110817244115299,
2013-02-20,76.41,76.98,75.94,75.97,910944,SRE,-0.006408579649489863,
2013-02-21,76.04,76.3,75.69,75.83,793566,SRE,-0.0018428326971172907,
2013-02-22,75.9,76.87,75.9,76.79,1023417,SRE,0.012659897138335856,
2013-02-25,77.13,78.18,75.72,75.73,1109186,SRE,-0.013803880713634616,
2013-02-26,77.25,77.55,75.24,77.05,1826483,SRE,0.017430344645450853,
2013-02-27,77.07,78.01,76.78,77.7,983733,SRE,0.008436080467229146,
2013-02-28,77.13,78.15,77.08,77.76,1248581,SRE,0.0007722007722008015,
2013-03-01,77.56,78.48,77.03,78.45,1266543,SRE,0.008873456790123427,
2013-03-04,78.39,79.26,78.08,78.98,1122098,SRE,0.006755895474824743,
2013-03-05,79.29,79.65,79.2,79.53,865013,SRE,0.006963788300835618,
2013-03-06,79.57,79.75,78.98,79.23,633491,SRE,-0.0037721614485099605,
2013-03-07,79.33,79.33,78.45,78.48,877963,SRE,-0.00946611132146914,
2013-03-08,78.78,78.86,78.105,78.65,1007420,SRE,0.0021661569826707658,
2013-03-11,78.54,79.425,78.45,79.22,644361,SRE,0.007247298156388978,
2013-03-12,79.01,79.3275,78.52,78.8,740210,SRE,-0.005301691492047484,
2013-03-13,78.45,79.34,78.1,78.92,928712,SRE,0.0015228426395939665,
2013-03-14,78.94,79.27,78.74,79.24,691432,SRE,0.004054738976178322,
2013-03-15,78.94,79.7,77.72,79.02,1587744,SRE,-0.002776375567894988,
2013-03-18,78.52,79.19,78.52,78.76,593630,SRE,-0.003290306251581763,
2013-03-19,78.95,79.325,78.77,79.15,784130,SRE,0.004951752158456076,
2013-03-20,79.39,80.05,79.3109,79.9,771096,SRE,0.009475679090334806,
2013-03-21,79.65,79.83,79.15,79.27,781285,SRE,-0.00788485607008773,
2013-03-22,79.27,80.21,79.08,79.85,821280,SRE,0.00731676548505107,77.79233333333333
2013-03-25,80.02,80.21,78.53,79.22,973652,SRE,-0.007889793362554734,77.89500000000001
2013-03-26,78.75,80.2,78.5101,80.18,1284973,SRE,0.012118151981822872,78.04233333333333
2013-03-27,80.11,80.11,79.39,79.56,784376,SRE,-0.0077326016462958905,78.16666666666667
2013-03-28,79.52,80.01,79.38,79.94,1131440,SRE,0.004776269482151778,78.287
2013-04-01,79.91,80.0,79.44,79.93,736012,SRE,-0.0001250938203651602,78.43966666666667
2013-04-02,80.0,80.79,79.968,80.59,947098,SRE,0.008257225071937902,78.60533333333333
2013-04-03,80.71,80.86,80.11,80.38,920026,SRE,-0.002605782355131008,78.73600000000002
2013-04-04,80.51,81.29,80.44,81.16,684122,SRE,0.009703906444389166,78.909
