date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,56.43,56.69,56.25,56.55,4450677,STT,,
2013-02-11,56.6,57.64,56.24,56.6,7277247,STT,0.0008841732979664768,
2013-02-12,56.78,57.1,56.61,56.93,3501563,STT,0.005830388692579475,
2013-02-13,57.0,57.13,56.79,57.07,2373842,STT,0.002459160372387152,
2013-02-14,56.85,57.3701,56.63,57.2,2288811,STT,0.0022779043280182682,
2013-02-15,57.35,57.72,57.0,57.24,3335959,STT,0.0006993006993006843,
2013-02-19,56.69,57.6,56.27,57.54,3680054,STT,0.005241090146750474,
2013-02-20,57.26,57.575,56.69,56.73,3697204,STT,-0.014077163712200249,
2013-02-21,56.51,56.7,55.83,56.09,3406514,STT,-0.011281508901815503,
2013-02-22,56.81,57.25,56.66,57.19,4580355,STT,0.019611338919593407,
2013-02-25,57.19,58.15,56.2,56.2,6056570,STT,-0.017310718657107798,
2013-02-26,56.57,57.01,56.17,56.9,4068484,STT,0.012455516014234799,
2013-02-27,56.93,57.2,56.525,56.97,4320034,STT,0.0012302284710017624,
2013-02-28,56.87,57.35,56.52,56.59,5292928,STT,-0.00667017728629095,
2013-03-01,56.24,56.76,55.76,56.31,3774339,STT,-0.004947870648524494,
2013-03-04,56.29,57.19,56.26,57.1,2398867,STT,0.014029479666133885,
2013-03-05,57.32,58.02,57.32,57.5,3839694,STT,0.007005253940455316,
2013-03-06,57.89,59.23,57.755,58.66,5272636,STT,0.020173913043478202,
2013-03-07,58.69,58.92,58.26,58.66,3357427,STT,0.0,
2013-03-08,59.07,59.72,58.95,59.2,3502404,STT,0.0092055915444938,
2013-03-11,58.96,59.45,58.6,59.38,2191231,STT,0.0030405405405405355,
2013-03-12,59.33,59.56,58.85,59.13,1841676,STT,-0.00421017177500842,
2013-03-13,59.17,59.85,59.1,59.81,2060955,STT,0.011500084559445284,
2013-03-14,59.91,60.11,59.78,59.95,2567482,STT,0.002340745694699892,
2013-03-15,59.93,60.29,59.7,60.03,6328146,STT,0.0013344453711425903,
2013-03-18,59.31,59.64,59.01,59.31,2410722,STT,-0.01199400299850073,
2013-03-19,59.56,59.81,58.74,59.26,2780577,STT,-0.0008430281571405203,
2013-03-20,59.64,60.65,59.53,60.53,4201182,STT,0.021430982112723644,
2013-03-21,60.23,60.24,58.82,59.0,2894265,STT,-0.025276722286469537,
2013-03-22,59.3,59.78,59.0,59.77,2652494,STT,0.013050847457627171,57.980000000000004
2013-03-25,60.16,60.2,59.04,59.32,2534095,STT,-0.00752886063242434,58.07233333333333
2013-03-26,59.74,60.08,59.4,59.76,2598972,STT,0.007417397167902861,58.17766666666667
2013-03-27,59.06,59.44,58.71,59.41,3159707,STT,-0.005856760374832688,58.26033333333334
2013-03-28,59.46,59.66,59.04,59.09,3360542,STT,-0.005386298602928686,58.327666666666666
2013-04-01,59.14,59.29,58.15,58.23,2355860,STT,-0.014554070062616458,58.362
