date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,76.36,76.74,76.13,76.24,861724,SWK,,
2013-02-11,76.13,76.24,75.8,75.93,979015,SWK,-0.004066107030430064,
2013-02-12,76.13,77.87,75.96,77.49,1825631,SWK,0.02054523903595401,
2013-02-13,77.56,77.64,77.05,77.48,1083623,SWK,-0.00012904890953659704,
2013-02-14,77.17,78.23,76.94,77.81,1460324,SWK,0.0042591636551367875,
2013-02-15,77.91,79.06,77.65,78.46,1336027,SWK,0.0083536820460094,
2013-02-19,78.64,79.5,78.64,79.17,1791268,SWK,0.009049197043079379,
2013-02-20,79.05,79.12,77.55,77.63,1477391,SWK,-0.01945181255526091,
2013-02-21,76.92,77.458,75.73,76.08,1624287,SWK,-0.019966507793378812,
2013-02-22,76.46,77.67,76.34,77.44,1085434,SWK,0.01787592008412197,
2013-02-25,77.93,77.93,75.14,75.14,1387491,SWK,-0.02970041322314046,
2013-02-26,75.81,76.49,75.08,76.26,2016422,SWK,0.014905509715198356,
2013-02-27,76.18,78.34,76.18,77.92,1429418,SWK,0.021767637031208976,
2013-02-28,78.03,79.035,77.8,78.7,1485566,SWK,0.01001026694045176,
2013-03-01,78.19,78.23,77.2,77.59,1548382,SWK,-0.014104193138500627,
2013-03-04,77.51,77.51,76.12,77.39,1171527,SWK,-0.0025776517592473623,
2013-03-05,77.85,78.75,77.6,78.34,1120082,SWK,0.012275487789120078,
2013-03-06,78.5,79.33,78.15,78.52,2683824,SWK,0.0022976767934642915,
2013-03-07,78.19,78.83,77.96,78.12,804908,SWK,-0.005094243504839423,
2013-03-08,78.71,79.52,78.08,78.96,1302912,SWK,0.010752688172042871,
2013-03-11,78.83,79.95,78.65,79.7,1044971,SWK,0.009371833839919063,
2013-03-12,79.75,79.9,79.33,79.78,1032240,SWK,0.001003764115432852,
2013-03-13,79.88,80.6338,79.47,80.17,1443770,SWK,0.00488844321885185,
2013-03-14,80.38,81.22,80.36,81.09,1260328,SWK,0.011475614319570933,
2013-03-15,80.62,81.2,80.051,81.17,1773255,SWK,0.0009865581452706657,
2013-03-18,80.23,81.23,79.66,80.55,3004653,SWK,-0.007638290008623931,
2013-03-19,80.9,81.42,80.5503,81.29,1465020,SWK,0.009186840471756786,
2013-03-20,81.76,81.98,81.22,81.61,1286022,SWK,0.003936523557633081,
2013-03-21,81.1,81.815,80.932,81.18,891144,SWK,-0.005268962136992925,
2013-03-22,81.36,81.75,80.85,81.57,740418,SWK,0.004804138950480245,78.626
2013-03-25,81.87,82.43,80.88,81.48,1376889,SWK,-0.0011033468186832072,78.80066666666669
2013-03-26,81.83,82.11,81.16,81.19,826926,SWK,-0.003559155621011368,78.97599999999998
2013-03-27,80.7,80.7,79.71,79.74,1842341,SWK,-0.01785934228353249,79.051
2013-03-28,79.76,81.05,79.3,80.97,5135666,SWK,0.0154251316779534,79.16733333333333
2013-04-01,80.77,81.16,79.74,79.83,1489446,SWK,-0.014079288625416828,79.23466666666667
2013-04-02,80.32,80.82,79.33,79.58,1058689,SWK,-0.0031316547663785546,79.272
2013-04-03,79.44,79.855,78.66,79.1,1531031,SWK,-0.006031666247801005,79.26966666666667
2013-04-04,79.21,79.51,78.07,78.39,1853850,SWK,-0.008975979772439871,79.295
2013-04-05,77.38,77.78,76.23,77.56,1854775,SWK,-0.010588085214950865,79.34433333333332
2013-04-08,77.61,77.94,76.74,77.9,1820034,SWK,0.004383702939659662,79.35966666666667
2013-04-09,78.08,78.64,77.37,77.8,1838228,SWK,-0.0012836970474969002,79.44833333333334
2013-04-10,78.0,79.27,77.96,79.18,1559187,SWK,0.01773778920308496,79.54566666666666
2013-04-11,79.17,80.14,78.96,79.75,1126985,SWK,0.007198787572619262,79.60666666666665
2013-04-12,79.44,79.8675,78.78,79.24,704341,SWK,-0.006394984326018873,79.62466666666666
