date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,40.09,40.61,40.07,40.52,1146224,TEL,,
2013-02-11,40.49,40.56,40.27,40.44,1056745,TEL,-0.0019743336623890767,
2013-02-12,40.44,40.69,40.37,40.49,876110,TEL,0.0012363996043522321,
2013-02-13,40.58,40.99,40.54,40.92,1426745,TEL,0.010619906149666576,
2013-02-14,40.62,41.09,40.46,41.08,2091112,TEL,0.003910068426197375,
2013-02-15,41.08,41.29,40.75,41.03,1533139,TEL,-0.001217137293086591,
2013-02-19,41.0,41.45,40.94,41.3,1284082,TEL,0.006580550816475652,
2013-02-20,41.21,41.395,40.94,40.96,1529626,TEL,-0.008232445520581024,
2013-02-21,40.76,40.78,40.29,40.48,2257420,TEL,-0.011718750000000097,
2013-02-22,40.68,41.25,40.36,41.01,2214739,TEL,0.0130928853754941,
2013-02-25,41.15,41.17,39.69,39.69,2207382,TEL,-0.0321872713972202,
2013-02-26,40.0,40.08,39.34,39.8,2438297,TEL,0.0027714789619551383,
2013-02-27,39.62,40.21,39.4501,40.0,1689118,TEL,0.005025125628140776,
2013-02-28,39.98,40.32,39.8,40.13,1769936,TEL,0.003250000000000064,
2013-03-01,39.96,40.44,39.56,40.23,1333410,TEL,0.002491901320707558,
2013-03-04,40.14,40.51,39.98,40.45,1359369,TEL,0.0054685558041264225,
2013-03-05,40.67,41.09,40.67,40.83,1372337,TEL,0.009394313967861445,
2013-03-06,40.99,41.54,40.86,41.44,1377934,TEL,0.014939995101640936,
2013-03-07,41.57,41.71,41.41,41.49,1361761,TEL,0.0012065637065638095,
2013-03-08,41.67,42.25,41.51,42.22,1510963,TEL,0.017594601108700817,
2013-03-11,42.08,42.195,41.88,42.05,1404806,TEL,-0.004026527711984882,
2013-03-12,42.05,42.225,41.67,42.09,1688812,TEL,0.0009512485136743461,
2013-03-13,42.14,42.21,41.85,41.92,1462976,TEL,-0.004038964124495169,
2013-03-14,42.01,42.6,42.01,42.54,1480823,TEL,0.0147900763358778,
2013-03-15,42.28,42.42,41.56,41.83,2457215,TEL,-0.016690173953925736,
2013-03-18,41.35,41.99,41.25,41.63,1079742,TEL,-0.004781257470714696,
2013-03-19,41.77,41.84,41.26,41.65,1332816,TEL,0.00048042277203929907,
2013-03-20,42.0,42.16,41.72,42.11,1258441,TEL,0.011044417767106863,
2013-03-21,41.7,41.96,41.37,41.56,1545592,TEL,-0.0130610306340536,
2013-03-22,41.76,41.87,41.54,41.82,1179104,TEL,0.006256015399422474,41.123666666666665
2013-03-25,41.96,42.27,41.275,41.54,1429747,TEL,-0.006695361071257799,41.157666666666664
2013-03-26,41.69,41.87,41.6,41.68,1262801,TEL,0.003370245546461256,41.199
2013-03-27,41.47,41.78,41.31,41.61,1871125,TEL,-0.0016794625719769743,41.23633333333333
2013-03-28,41.69,41.99,41.57,41.93,1747620,TEL,0.007690459024273018,41.27
2013-04-01,41.94,41.99,41.4,41.6,1096914,TEL,-0.007870259957071269,41.28733333333333
2013-04-02,41.81,41.95,41.26,41.46,1391849,TEL,-0.003365384615384629,41.30166666666666
2013-04-03,41.6,41.99,41.22,41.33,1619090,TEL,-0.0031355523396044997,41.30266666666667
2013-04-04,41.54,41.89,41.17,41.41,1465917,TEL,0.0019356399709653592,41.31766666666667
2013-04-05,40.86,41.24,40.58,41.14,1699371,TEL,-0.00652016421154301,41.339666666666666
2013-04-08,41.09,41.29,41.07,41.27,1299819,TEL,0.0031599416626155214,41.348333333333336
2013-04-09,41.35,41.53,41.19,41.41,974680,TEL,0.0033922946450204374,41.40566666666666
2013-04-10,41.15,41.94,40.89,41.76,2126972,TEL,0.008452064718667024,41.471
2013-04-11,41.68,42.21,41.58,42.02,1752649,TEL,0.006226053639846866,41.53833333333333
2013-04-12,41.91,41.99,41.42,41.61,1751353,TEL,-0.009757258448358012,41.58766666666667
2013-04-15,41.48,41.5,40.34,40.34,1684055,TEL,-0.030521509252583418,41.59133333333333
2013-04-16,40.64,41.4,40.52,41.37,1423556,TEL,0.0255329697570648,41.622
2013-04-17,40.9,40.99,39.45,39.73,2452118,TEL,-0.0396422528402224,41.58533333333334
