date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,62.9,63.0,62.47,62.89,1568643,TIF,,
2013-02-11,62.88,63.2999,62.665,63.1,861764,TIF,0.0033391636190173452,
2013-02-12,63.27,63.67,63.04,63.6,1043517,TIF,0.00792393026941363,
2013-02-13,63.72,63.7899,63.17,63.45,1068252,TIF,-0.0023584905660377136,
2013-02-14,63.15,63.8999,62.82,63.7,1467920,TIF,0.003940110323089046,
2013-02-15,63.79,65.28,63.66,64.78,2132204,TIF,0.016954474097331213,
2013-02-19,64.78,65.69,64.45,65.65,1642162,TIF,0.013430071009570926,
2013-02-20,65.65,65.65,64.38,64.4,1622358,TIF,-0.01904036557501904,
2013-02-21,64.18,64.75,63.95,64.28,1070849,TIF,-0.0018633540372671512,
2013-02-22,64.52,64.85,63.85,64.38,933247,TIF,0.0015556938394523073,
2013-02-25,64.63,65.35,64.01,64.01,1521912,TIF,-0.00574712643678146,
2013-02-26,64.49,66.12,64.07,66.01,2218266,TIF,0.03124511795032026,
2013-02-27,65.91,66.96,65.24,66.66,1479906,TIF,0.009846992879866557,
2013-02-28,66.51,67.5,66.36,67.16,1808514,TIF,0.0075007500750075016,
2013-03-01,66.94,69.29,66.77,69.04,2664284,TIF,0.027992852888624326,
2013-03-04,68.66,70.52,67.66,70.48,4850852,TIF,0.020857473928157556,
2013-03-05,70.7,70.74,69.74,70.17,3230828,TIF,-0.004398410896708318,
2013-03-06,70.14,70.48,69.66,70.06,2358943,TIF,-0.0015676214906655184,
2013-03-07,70.47,71.08,70.06,70.88,1451475,TIF,0.011704253497002472,
2013-03-08,70.01,70.71,69.58,70.25,2563434,TIF,-0.008888261851015739,
2013-03-11,70.01,70.02,68.97,69.11,1946364,TIF,-0.016227758007117447,
2013-03-12,68.82,69.0,68.22,68.46,2735441,TIF,-0.009405295905078942,
2013-03-13,68.48,69.05,68.35,68.84,1716488,TIF,0.005550686532281766,
2013-03-14,68.9,69.19,68.64,69.09,1417117,TIF,0.0036316095293434047,
2013-03-15,69.0,69.48,68.55,69.42,1446488,TIF,0.004776378636560982,
2013-03-18,68.47,68.96,67.84,68.83,1578481,TIF,-0.00849899164505911,
2013-03-19,68.97,69.03,67.99,68.5,2290104,TIF,-0.004794421037338345,
2013-03-20,69.23,69.78,68.57,69.59,1558884,TIF,0.015912408759124138,
2013-03-21,69.1,69.37,67.75,67.91,2370271,TIF,-0.024141399626383196,
2013-03-22,70.15,70.78,68.82,69.23,4432873,TIF,0.019437490796642726,67.131
2013-03-25,69.51,69.75,67.86,68.23,1499352,TIF,-0.014444604940054888,67.309
2013-03-26,68.38,68.86,67.8,68.41,1351284,TIF,0.0026381357174262436,67.486
2013-03-27,67.98,68.48,67.87,68.42,870644,TIF,0.0001461774594358298,67.64666666666668
2013-03-28,68.31,69.61,68.27,69.54,1153368,TIF,0.016369482607424796,67.84966666666666
2013-04-01,69.69,70.72,69.43,70.24,1651221,TIF,0.010066148979004725,68.06766666666667
2013-04-02,70.64,72.48,70.561,72.0,2287701,TIF,0.02505694760820053,68.30833333333334
2013-04-03,71.42,71.96,70.19,70.81,2101536,TIF,-0.016527777777777745,68.48033333333333
2013-04-04,70.79,71.11,70.46,70.87,951648,TIF,0.0008473379466177414,68.696
2013-04-05,69.75,70.76,69.31,70.61,1164070,TIF,-0.0036686891491463963,68.907
2013-04-08,70.53,71.17,70.4,70.91,1001649,TIF,0.00424868998725389,69.12466666666667
2013-04-09,71.0,71.23,70.49,71.01,1006438,TIF,0.0014102383302779372,69.358
2013-04-10,71.31,72.45,71.21,72.33,926032,TIF,0.018588931136459555,69.56866666666666
2013-04-11,72.62,74.2,72.27,73.38,1848789,TIF,0.014516798009124806,69.79266666666666
2013-04-12,72.96,73.29,72.18,72.67,1361079,TIF,-0.009675660943036166,69.97633333333333
2013-04-15,72.53,72.58,70.1,70.31,1873990,TIF,-0.0324755745149305,70.01866666666666
2013-04-16,71.08,71.6,70.67,71.52,1266263,TIF,0.017209500782249944,70.05333333333333
2013-04-17,71.06,71.48,70.14,70.36,1276917,TIF,-0.016219239373601743,70.05966666666667
2013-04-18,70.53,70.99,68.91,69.47,1237340,TIF,-0.012649232518476414,70.04
2013-04-19,69.66,70.37,69.58,70.11,1165396,TIF,0.009212609759608472,70.01433333333333
2013-04-22,70.17,71.25,69.35,71.06,1138191,TIF,0.013550135501355054,70.04133333333333
2013-04-23,72.2,72.54,71.07,71.81,1071360,TIF,0.010554461018857304,70.13133333333333
2013-04-24,71.92,72.63,71.74,72.29,965104,TIF,0.006684305806990725,70.259
2013-04-25,72.48,73.66,72.42,72.96,1140223,TIF,0.009268225204039112,70.39633333333333
2013-04-26,72.87,73.21,72.64,72.93,671356,TIF,-0.00041118421052613666,70.52433333333333
2013-04-29,73.02,73.76,72.69,73.06,1002225,TIF,0.0017825311942958376,70.64566666666666
2013-04-30,72.9,74.08,72.9,73.68,882974,TIF,0.008486175745962285,70.80733333333333
2013-05-01,73.57,74.2,73.34,73.57,831778,TIF,-0.001492942453854691,70.97633333333333
2013-05-02,73.89,74.689,73.73,74.39,942910,TIF,0.011145847492184415,71.13633333333333
2013-05-03,75.0,75.85,74.79,75.31,965068,TIF,0.012367253663126788,71.383
2013-05-06,75.29,76.15,75.24,75.55,757654,TIF,0.003186827778515401,71.59366666666666
2013-05-07,74.73,75.47,74.14,75.45,1215692,TIF,-0.0013236267372600174,71.83433333333332
2013-05-08,75.14,76.29,75.105,76.06,748056,TIF,0.008084824387011257,72.08933333333334
2013-05-09,76.08,76.73,75.47,75.81,769241,TIF,-0.0032868787799105966,72.33566666666667
2013-05-10,75.83,76.77,75.67,76.5,724150,TIF,0.009101701622477216,72.56766666666667
2013-05-13,76.28,76.92,76.0375,76.59,677475,TIF,0.0011764705882353387,72.77933333333333
2013-05-14,76.5,76.84,76.25,76.68,1029101,TIF,0.0011750881316099152,72.93533333333333
2013-05-15,76.58,76.87,76.28,76.58,927914,TIF,-0.0013041210224309927,73.12766666666667
2013-05-16,76.5,77.33,76.31,76.49,1371198,TIF,-0.0011752415774354062,73.315
2013-05-17,76.64,78.29,76.47,78.0,1969010,TIF,0.019741142633023994,73.56133333333332
2013-05-20,77.9,78.2901,77.53,77.91,773584,TIF,-0.0011538461538461975,73.79466666666667
2013-05-21,78.0,78.59,77.92,78.38,1007218,TIF,0.006032601719933242,74.04033333333334
2013-05-22,78.61,79.35,77.07,77.32,1995048,TIF,-0.013523858127073263,74.20666666666666
2013-05-23,76.4,76.67,75.79,76.19,1443540,TIF,-0.014614588722193424,74.30033333333334
