date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,36.96,37.1334,36.8734,37.0334,537644,TMK,,
2013-02-11,37.0534,37.2334,36.88,37.2134,538163,TMK,0.004860477298870742,
2013-02-12,37.22,37.3534,37.1001,37.3334,594800,TMK,0.0032246448859818626,
2013-02-13,37.3134,37.5067,37.2267,37.42,630483,TMK,0.0023196387149309796,
2013-02-14,37.2734,37.3534,37.02,37.32,625286,TMK,-0.002672367717798007,
2013-02-15,37.5134,37.6134,37.22,37.4734,915621,TMK,0.0041103965702035845,
2013-02-19,37.7067,37.92,37.3,37.82,975620,TMK,0.009249227452006016,
2013-02-20,37.7867,37.82,37.2334,37.28,886139,TMK,-0.014278159703860368,
2013-02-21,37.2134,37.3334,36.98,37.1334,707424,TMK,-0.003932403433476378,
2013-02-22,37.3334,37.42,37.0734,37.42,798276,TMK,0.007718118997991025,
2013-02-25,37.5467,37.6,36.66,36.6667,1157319,TMK,-0.02013094601817218,
2013-02-26,36.8467,37.0734,36.58,36.88,763962,TMK,0.005817267438847887,
2013-02-27,36.8467,37.4534,36.8467,37.4,642558,TMK,0.014099783080260195,
2013-02-28,37.34,37.66,37.1667,37.46,1156677,TMK,0.001604278074866371,
2013-03-01,37.2067,37.6334,36.92,37.5334,850248,TMK,0.0019594233849439258,
2013-03-04,37.38,37.82,37.2667,37.82,513665,TMK,0.007635865655656028,
2013-03-05,38.0067,38.3867,37.99,38.2734,859497,TMK,0.011988365943945057,
2013-03-06,38.4,38.6267,38.3267,38.5534,624381,TMK,0.007315785898300154,
2013-03-07,38.5734,38.7567,38.42,38.6334,738512,TMK,0.002075043964993964,
2013-03-08,38.8334,39.1067,38.7,38.9,791135,TMK,0.00690076462335691,
2013-03-11,38.7867,39.1934,38.7467,39.1867,634515,TMK,0.007370179948586203,
2013-03-12,39.1934,39.2534,39.06,39.18,530610,TMK,-0.00017097637718925423,
2013-03-13,39.1934,39.6134,39.14,39.5934,618758,TMK,0.010551301684532999,
2013-03-14,39.6934,39.8334,39.5134,39.7534,1161650,TMK,0.004041077553329509,
2013-03-15,39.6267,39.7934,39.3134,39.5734,1103283,TMK,-0.004527914593468727,
2013-03-18,39.14,39.4934,39.0267,39.1067,724014,TMK,-0.01179327528087056,
2013-03-19,39.2,39.3764,38.9334,39.1534,416501,TMK,0.0011941687741487085,
2013-03-20,39.38,39.76,39.2734,39.4467,797381,TMK,0.007491048031588627,
2013-03-21,39.24,39.44,39.08,39.28,524978,TMK,-0.004225955529866852,
2013-03-22,39.38,39.5267,39.24,39.5267,456633,TMK,0.0062805498981669304,38.17892333333334
2013-03-25,39.6467,39.6934,39.2134,39.4534,450147,TMK,-0.0018544426931668,38.25959
2013-03-26,39.6467,39.6467,39.38,39.5467,602046,TMK,0.002364815199703936,38.33736666666667
2013-03-27,39.3067,39.6,39.24,39.56,644469,TMK,0.00033631124720902067,38.41158666666666
2013-03-28,39.4934,39.9067,39.4934,39.8667,1092852,TMK,0.007752780586450942,38.493143333333336
2013-04-01,39.8867,39.98,39.42,39.64,580476,TMK,-0.005686450094941418,38.570476666666664
2013-04-02,39.7734,39.9267,39.54,39.7467,800288,TMK,0.002691725529767822,38.646253333333334
2013-04-03,39.6534,39.6534,38.7734,38.8867,1053576,TMK,-0.021637016406393473,38.681810000000006
2013-04-04,39.06,39.3467,38.9267,39.3134,862106,TMK,0.010972903331987643,38.74959
2013-04-05,38.8067,38.86,38.46,38.76,846314,TMK,-0.014076625272807832,38.80381
2013-04-08,38.7867,38.92,38.4734,38.9134,780495,TMK,0.003957688338493418,38.853590000000004
2013-04-09,39.0,39.1134,38.7934,38.9067,784268,TMK,-0.00017217719346040563,38.92825666666666
2013-04-10,39.0934,40.0067,38.8267,39.9867,1174928,TMK,0.027758715079921923,39.03181333333334
2013-04-11,39.9734,40.02,39.72,39.8867,716733,TMK,-0.0025008315264825913,39.11470333333333
2013-04-12,39.7,39.8,39.5867,39.7467,610590,TMK,-0.0035099419104613963,39.19092666666666
2013-04-15,39.68,39.72,38.8267,38.8267,712626,TMK,-0.02314657569056034,39.234036666666675
2013-04-16,39.06,39.68,39.0534,39.6334,763578,TMK,0.020776939580237293,39.29448333333333
2013-04-17,39.38,39.4934,38.9,39.0267,777866,TMK,-0.015307795949880746,39.31959333333332
2013-04-18,39.0867,39.26,38.7867,39.1134,1164605,TMK,0.0022215560116535717,39.338260000000005
2013-04-19,39.1934,39.5534,39.0267,39.5334,681306,TMK,0.010738007946125925,39.36825999999999
2013-04-22,39.5534,39.6267,39.04,39.5,541005,TMK,-0.0008448552363318186,39.38826000000001
2013-04-23,39.5734,40.1867,39.4267,40.0734,764424,TMK,0.014516455696202519,39.417816666666674
2013-04-24,40.2867,40.7134,39.8134,40.4467,890141,TMK,0.009315406229568751,39.460040000000006
2013-04-25,40.62,41.1567,40.3,40.9467,1007634,TMK,0.012361947946309588,39.50515
2013-04-26,40.9667,41.12,40.6334,40.8734,590762,TMK,-0.0017901320497134873,39.54248333333333
2013-04-29,40.9334,41.32,40.7534,41.2667,543734,TMK,0.009622395005064505,39.598926666666664
2013-04-30,41.1534,41.52,41.02,41.38,943478,TMK,0.00274555513283113,39.67470333333333
2013-05-01,40.8267,41.4334,40.8267,40.8734,689153,TMK,-0.012242629289511983,39.732036666666666
2013-05-02,41.04,41.5,40.5667,41.4867,674873,TMK,0.015004868692107886,39.80003666666667
2013-05-03,41.9334,42.0067,41.7067,41.7534,856218,TMK,0.006428566263404902,39.88248333333333
2013-05-06,41.7334,42.1067,41.7134,42.0,518478,TMK,0.00590610585006253,39.96492666666666
2013-05-07,41.9934,42.3734,41.96,42.3534,619977,TMK,0.008414285714285728,40.06159333333333
2013-05-08,42.2867,42.8,42.2734,42.8,1023810,TMK,0.010544607988968927,40.17003666666667
2013-05-09,42.8067,42.8532,42.53,42.7134,870858,TMK,-0.0020233644859812415,40.275150000000004
2013-05-10,42.72,42.8334,42.48,42.8,659643,TMK,0.002027466790281203,40.372926666666665
2013-05-13,42.7067,42.8934,42.52,42.7867,532401,TMK,-0.0003107476635512587,40.47781666666666
2013-05-14,42.7667,43.26,42.5934,43.26,1103885,TMK,0.01106184865857836,40.594926666666666
2013-05-15,43.18,43.66,43.0267,43.58,713031,TMK,0.00739713361072585,40.751369999999994
2013-05-16,43.4734,43.5067,42.9334,43.04,862361,TMK,-0.012391005048187223,40.875589999999995
2013-05-17,43.12,43.4134,43.12,43.24,1063079,TMK,0.004646840148698951,41.02492333333333
2013-05-20,43.16,43.4467,42.9867,43.4467,688155,TMK,0.004780296022201616,41.176033333333336
2013-05-21,43.44,43.5534,43.2,43.4467,678978,TMK,0.0,41.32736666666667
2013-05-22,43.2334,43.6867,42.815,42.96,998208,TMK,-0.011202231699991001,41.426476666666666
2013-05-23,42.4667,43.0267,42.3734,42.8934,787643,TMK,-0.0015502793296089641,41.5267
2013-05-24,42.7,42.8734,42.2874,42.84,356795,TMK,-0.0012449467750282406,41.62981
2013-05-28,43.2467,43.5867,42.9134,43.12,896549,TMK,0.006535947712418161,41.77292
2013-05-29,42.8734,43.2467,42.7067,43.06,568980,TMK,-0.001391465677179851,41.88714
2013-05-30,43.0934,43.76,43.0734,43.5934,628365,TMK,0.012387366465397127,42.039363333333334
2013-05-31,43.4734,43.8267,43.0067,43.0067,853764,TMK,-0.013458459308060404,42.16914
2013-06-03,42.94,43.0,42.0934,42.8267,937799,TMK,-0.004185394368784392,42.27891666666667
2013-06-04,42.8267,43.1,41.8334,42.18,1371531,TMK,-0.015100392979146249,42.368249999999996
2013-06-05,42.02,42.1667,41.6867,41.8334,880706,TMK,-0.00821716453295406,42.42691666666666
2013-06-06,41.8467,42.64,41.6734,42.64,789183,TMK,0.019281244173316135,42.50002666666667
2013-06-07,42.92,43.3334,42.674,43.3067,579621,TMK,0.015635553470919293,42.578693333333334
2013-06-10,43.36,43.56,43.28,43.4067,585381,TMK,0.0023091115231592668,42.66313666666667
2013-06-11,42.3,43.3534,42.3,42.9134,565649,TMK,-0.011364605003375005,42.71802666666667
2013-06-12,43.12,43.6067,42.9134,43.0,1072800,TMK,0.0020180176821225334,42.77202666666667
2013-06-13,43.0267,43.6267,42.8,43.5267,585722,TMK,0.012248837209302282,42.86047
2013-06-14,43.4934,43.5067,42.8467,43.1067,498383,TMK,-0.009649249770830358,42.91447
2013-06-17,43.3867,43.7067,43.3534,43.5934,732866,TMK,0.011290588238023466,42.97580333333334
2013-06-18,43.5934,43.6,43.14,43.5134,769958,TMK,-0.0018351401817707587,43.026250000000005
2013-06-19,43.5534,43.92,43.2,43.2,557409,TMK,-0.007202379037261956,43.05447000000001
2013-06-20,42.9134,43.4734,42.7334,43.0867,905999,TMK,-0.0026226851851852404,43.06402666666666
2013-06-21,43.4267,43.4267,42.82,43.0334,791613,TMK,-0.001237040664520609,43.074693333333336
2013-06-24,42.64,42.8,42.26,42.56,629285,TMK,-0.011000757551111417,43.06669333333333
2013-06-25,42.9334,43.1934,42.4667,43.0667,557705,TMK,0.011905545112781838,43.076026666666664
