date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2016-04-07,,,,41.56,0,UA,,
2016-04-08,41.61,44.35,41.3214,44.02,3602269,UA,0.05919153031761311,
2016-04-11,43.64,43.68,40.97,41.46,4094862,UA,-0.05815538391640168,
2016-04-12,41.25,41.66,40.23,41.65,3613194,UA,0.004582730342498739,
2016-04-13,41.33,42.68,41.33,41.8,4425387,UA,0.0036014405762304583,
2016-04-14,41.99,42.86,41.91,42.23,2525995,UA,0.010287081339712912,
2016-04-15,41.82,42.05,41.1901,42.0,2344083,UA,-0.00544636514326301,
2016-04-18,41.39,42.54,41.39,42.42,2541724,UA,0.01000000000000004,
2016-04-19,42.55,43.36,42.25,43.0,1644552,UA,0.013672795851013633,
2016-04-20,42.86,43.57,42.75,42.76,2267344,UA,-0.005581395348837255,
2016-04-21,46.35,46.53,43.99,45.73,3270959,UA,0.06945743685687557,
2016-04-22,45.48,46.18,44.09,45.06,2398820,UA,-0.014651213645309307,
2016-04-25,44.89,44.9,44.11,44.26,2107535,UA,-0.017754105636928634,
2016-04-26,44.21,44.89,43.85,43.95,2181075,UA,-0.007004066877541689,
2016-04-27,44.19,44.21,41.75,42.16,1280876,UA,-0.040728100113765785,
2016-04-28,42.11,43.09,41.84,41.89,1445833,UA,-0.0064041745730549346,
2016-04-29,41.71,41.89,40.47,40.8,1964394,UA,-0.0260205299594176,
2016-05-02,40.57,40.82,39.88,40.27,1453798,UA,-0.012990196078431228,
2016-05-03,39.42,40.47,39.42,40.12,1539218,UA,-0.003724857213806945,
2016-05-04,38.85,38.9,37.04,37.39,4516156,UA,-0.06804586241276164,
2016-05-05,37.4,38.17,37.0801,37.49,1121631,UA,0.002674511901578,
2016-05-06,37.0,37.35,36.27,36.38,1346938,UA,-0.029607895438783657,
2016-05-09,36.31,36.72,35.9648,36.31,1705626,UA,-0.001924134139637171,
2016-05-10,36.59,37.28,36.4,36.55,1282800,UA,0.006609749380335855,
2016-05-11,36.0,36.1189,34.805,35.23,1941428,UA,-0.03611491108071137,
2016-05-12,35.57,35.66,34.81,35.19,1634456,UA,-0.0011353959693442847,
2016-05-13,34.97,35.23,34.48,34.71,1908143,UA,-0.013640238704177235,
2016-05-16,34.58,34.905,34.45,34.54,1695997,UA,-0.004897723998847643,
2016-05-17,34.45,34.74,34.095,34.47,1895456,UA,-0.0020266357845975763,
2016-05-18,34.33,34.4,33.7,34.22,980956,UA,-0.00725268349289237,39.98733333333333
2016-05-19,33.78,35.0,33.78,34.85,1057401,UA,0.018410286382232688,39.76366666666667
2016-05-20,34.89,35.65,34.73,35.58,1052853,UA,0.020946915351506366,39.48233333333334
2016-05-23,35.53,36.0,34.75,34.83,683835,UA,-0.021079258010118045,39.26133333333333
2016-05-24,35.01,36.09,34.99,35.58,1143097,UA,0.02153316106804479,39.059
2016-05-25,35.91,36.0,35.35,35.48,1322956,UA,-0.002810567734682446,38.848333333333336
2016-05-26,35.51,35.51,34.91,34.92,875007,UA,-0.01578354002254778,38.60466666666666
2016-05-27,34.97,35.21,34.84,35.06,1105514,UA,0.004009163802978252,38.373333333333335
2016-05-31,35.24,35.4,34.65,34.97,6311414,UA,-0.002567027952082242,38.125
2016-06-01,33.39,33.755,32.6259,33.72,3080985,UA,-0.03574492422076065,37.81566666666666
2016-06-02,33.67,34.32,33.66,34.22,2785411,UA,0.01482799525504152,37.53099999999999
2016-06-03,33.78,34.32,33.78,34.16,967862,UA,-0.001753360607831744,37.14533333333333
2016-06-06,34.17,34.57,34.12,34.4,1956465,UA,0.007025761124121839,36.78999999999999
2016-06-07,34.8,35.28,34.21,35.2,1441146,UA,0.023255813953488497,36.48799999999999
2016-06-08,35.67,36.55,35.2801,36.44,1287361,UA,0.03522727272727258,36.23766666666666
2016-06-09,36.23,36.315,35.84,36.14,1224965,UA,-0.008232711306256782,36.037000000000006
2016-06-10,35.75,36.41,35.7,35.54,616887,UA,-0.016602102933038224,35.82533333333333
2016-06-13,35.62,35.74,34.62,34.68,1254294,UA,-0.024198086662915008,35.62133333333333
2016-06-14,34.66,34.75,34.0,34.4,1086008,UA,-0.00807381776239911,35.425666666666665
2016-06-15,34.45,35.47,34.45,34.77,1062818,UA,0.010755813953488505,35.24733333333334
2016-06-16,34.22,34.27,33.16,33.48,1215871,UA,-0.03710094909404677,35.117
2016-06-17,33.72,34.25,33.6,34.14,1302234,UA,0.019713261648745633,35.00533333333333
2016-06-20,34.71,35.17,34.65,34.77,845879,UA,0.018453427065026437,34.95166666666667
2016-06-21,34.91,35.48,34.75,34.92,585535,UA,0.004314063848144911,34.90533333333333
2016-06-22,34.95,35.0099,34.26,34.32,635385,UA,-0.01718213058419248,34.831
2016-06-23,34.55,34.775,34.4,34.67,1260783,UA,0.01019813519813524,34.81233333333333
2016-06-24,32.85,33.9132,32.85,33.5,1992597,UA,-0.03374675511970008,34.756
2016-06-27,32.96,33.075,31.31,31.9,1417621,UA,-0.04776119402985079,34.66233333333333
2016-06-28,32.25,33.97,32.115,33.9,1570613,UA,0.06269592476489029,34.641
2016-06-29,34.595,36.11,34.58,35.91,1750614,UA,0.05929203539823003,34.689
2016-06-30,35.91,36.42,35.2201,36.4,853283,UA,0.013645224171540018,34.76166666666666
2016-07-01,36.265,36.9799,36.2611,36.84,922536,UA,0.012087912087912222,34.827999999999996
2016-07-05,36.5,36.62,35.12,35.51,613245,UA,-0.036102062975027285,34.82566666666666
2016-07-06,35.345,36.27,35.26,36.26,558456,UA,0.021120811039143903,34.873333333333335
2016-07-07,36.2,36.88,36.14,36.88,592469,UA,0.017098731384445797,34.916666666666664
2016-07-08,36.82,37.1,36.373,36.78,700295,UA,-0.0027114967462039427,34.96
2016-07-11,36.87,36.955,36.39,36.57,547215,UA,-0.005709624796084852,35.015
2016-07-12,36.62,38.07,36.62,37.87,1145476,UA,0.035548263604046955,35.108666666666664
2016-07-13,37.61,38.0,36.933,37.22,956793,UA,-0.017163982043834132,35.18366666666667
2016-07-14,37.38,37.66,36.86,37.02,862302,UA,-0.005373455131649536,35.29366666666667
2016-07-15,37.13,37.395,36.98,37.23,872239,UA,0.00567260940032398,35.394
2016-07-18,37.22,37.5,37.145,37.2,472422,UA,-0.0008058017727637398,35.495333333333335
2016-07-19,36.91,37.3184,36.81,36.95,752065,UA,-0.006720430107526881,35.580333333333336
2016-07-20,37.17,37.27,36.7,36.79,1092535,UA,-0.004330175913396582,35.63333333333333
2016-07-21,36.54,37.44,36.54,37.27,621696,UA,0.01304702364773047,35.660999999999994
2016-07-22,37.02,37.67,36.8,37.48,564229,UA,0.005634558626240776,35.705666666666666
2016-07-25,37.4,38.78,36.92,38.78,1865516,UA,0.03468516542155828,35.81366666666667
2016-07-26,38.43,39.42,36.51,37.5,3664292,UA,-0.03300670448684892,35.907666666666664
2016-07-27,37.5,37.52,35.43,35.93,1135565,UA,-0.04186666666666668,35.958666666666666
2016-07-28,35.73,36.05,35.1801,35.75,577543,UA,-0.005009741163373218,35.99133333333334
2016-07-29,35.39,35.89,35.14,35.7,1040839,UA,-0.001398601398601319,36.06533333333333
2016-08-01,35.66,36.13,35.36,35.5,614412,UA,-0.005602240896358622,36.11066666666667
2016-08-02,35.36,35.41,34.14,34.39,882696,UA,-0.0312676056338028,36.098
2016-08-03,33.7,35.45,33.66,35.27,795669,UA,0.025588833963361517,36.10966666666666
2016-08-04,35.1,35.64,34.98,35.14,629520,UA,-0.003685851998865964,36.13700000000001
2016-08-05,35.3,36.395,35.3,36.17,646783,UA,0.02931132612407516,36.187
2016-08-08,36.22,36.873,35.69,35.93,514122,UA,-0.006635333149018578,36.268
2016-08-09,35.75,36.26,35.47,35.57,568616,UA,-0.010019482326746435,36.39033333333334
2016-08-10,35.89,36.39,35.38,35.43,491077,UA,-0.003935901040202434,36.44133333333333
2016-08-11,35.71,37.38,35.71,37.02,925013,UA,0.04487722269263346,36.47833333333333
2016-08-12,36.95,37.5,36.731,37.1,900174,UA,0.002160994057266296,36.50166666666667
2016-08-15,37.2,38.47,37.14,38.04,681308,UA,0.025336927223719614,36.541666666666664
2016-08-16,38.33,38.78,38.15,38.65,1134121,UA,0.01603575184016823,36.64633333333333
2016-08-17,38.5,38.61,37.72,37.92,688512,UA,-0.01888745148771014,36.70166666666667
2016-08-18,37.75,38.25,37.73,37.95,468424,UA,0.000791139240506359,36.73733333333334
2016-08-19,38.12,39.08,37.97,38.76,736540,UA,0.02134387351778643,36.803333333333335
2016-08-22,38.69,42.9435,38.37,38.8,745420,UA,0.0010319917440660255,36.87766666666666
2016-08-23,38.8,39.45,38.76,39.28,793594,UA,0.01237113402061866,36.92466666666667
2016-08-24,39.15,39.5,38.66,38.88,790866,UA,-0.010183299389002,36.980000000000004
2016-08-25,38.9,39.14,38.03,38.26,652959,UA,-0.015946502057613283,37.02133333333334
2016-08-26,38.41,38.53,37.76,38.0,585499,UA,-0.006795608991113383,37.047000000000004
2016-08-29,38.02,38.4613,37.7,37.9,520620,UA,-0.0026315789473684583,37.07033333333333
2016-08-30,37.74,37.82,37.14,37.36,633191,UA,-0.014248021108179397,37.083999999999996
2016-08-31,36.85,36.95,35.56,35.65,1211708,UA,-0.04577087794432551,37.046
2016-09-01,35.54,35.81,35.23,35.7,640605,UA,0.0014025245441796428,36.99366666666666
2016-09-02,35.75,35.75,34.51,34.58,904905,UA,-0.03137254901960797,36.897
2016-09-06,34.69,35.09,34.43,34.76,751348,UA,0.005205320994794671,36.763
2016-09-07,34.86,35.71,34.6476,35.58,1030010,UA,0.023590333716916004,36.699
2016-09-08,35.23,35.7799,34.8903,35.05,480753,UA,-0.014896008993816783,36.669666666666664
2016-09-09,34.69,34.99,34.005,34.01,731780,UA,-0.029671897289586285,36.611666666666665
2016-09-12,33.86,34.86,33.7613,34.8,1058864,UA,0.02322846221699498,36.58166666666667
2016-09-13,34.34,34.63,33.54,33.89,663327,UA,-0.026149425287356226,36.528000000000006
2016-09-14,33.79,34.37,33.56,33.79,557953,UA,-0.0029507229271171858,36.508
2016-09-15,33.56,33.97,33.36,33.86,817903,UA,0.0020716188221367353,36.461
2016-09-16,33.84,34.377,33.53,34.21,1048059,UA,0.010336680448907308,36.42999999999999
2016-09-19,34.3,34.42,33.75,33.83,834715,UA,-0.011107863197895427,36.352000000000004
2016-09-20,33.9,34.03,33.4,33.46,755835,UA,-0.010937038131835573,36.269666666666666
2016-09-21,33.61,34.44,33.4,34.3,560546,UA,0.02510460251046014,36.22733333333334
2016-09-22,34.49,34.76,34.33,34.7,500236,UA,0.011661807580175093,36.202999999999996
2016-09-23,34.76,34.935,34.2592,34.28,454105,UA,-0.012103746397694572,36.111666666666665
2016-09-26,34.0,34.0492,33.45,33.58,462474,UA,-0.020420070011668692,35.99433333333333
2016-09-27,33.45,34.01,33.16,33.97,832673,UA,0.011614055985705795,35.858666666666664
2016-09-28,34.05,34.63,33.86,34.37,977311,UA,0.0117750956726523,35.716
2016-09-29,34.23,34.68,33.67,33.68,457026,UA,-0.020075647366889663,35.574666666666666
2016-09-30,33.99,34.16,33.6414,33.86,814210,UA,0.005344418052256524,35.438333333333325
2016-10-03,33.63,34.14,33.48,34.05,814176,UA,0.0056113408151210195,35.281333333333336
2016-10-04,33.91,34.29,33.49,33.7,957928,UA,-0.010279001468428615,35.11133333333333
2016-10-05,33.71,33.99,33.34,33.38,1140184,UA,-0.00949554896142434,34.91466666666667
2016-10-06,33.24,33.26,32.628,32.9,587518,UA,-0.014379868184541759,34.715333333333334
2016-10-07,33.01,33.09,32.67,32.85,485301,UA,-0.0015197568389056888,34.535
2016-10-10,33.4,33.489,33.17,33.27,626684,UA,0.012785388127853932,34.37733333333333
2016-10-11,33.31,33.85,33.04,33.21,615770,UA,-0.0018034265103697707,34.221
2016-10-12,33.17,33.99,33.1,33.76,720596,UA,0.016561276723878263,34.101000000000006
2016-10-13,33.23,33.46,32.78,33.39,588463,UA,-0.01095971563981035,34.025666666666666
2016-10-14,33.99,34.2,33.51,33.62,543863,UA,0.0068882899071577375,33.95633333333333
2016-10-17,33.5,33.62,32.69,32.76,387916,UA,-0.025580011897679937,33.89566666666666
2016-10-18,33.17,33.45,32.99,33.31,516782,UA,0.01678876678876692,33.84733333333333
2016-10-19,33.34,34.16,33.34,34.02,598530,UA,0.02131492044431104,33.79533333333333
2016-10-20,33.83,33.88,33.29,33.42,925543,UA,-0.01763668430335101,33.741
2016-10-21,33.15,33.23,32.78,32.96,871124,UA,-0.013764213046080217,33.706
2016-10-24,33.12,33.4,32.7452,32.9,726299,UA,-0.0018203883495146321,33.64266666666667
2016-10-25,28.09,28.74,27.5799,28.37,6816097,UA,-0.13768996960486315,33.458666666666666
2016-10-26,28.28,28.37,27.42,27.46,6656866,UA,-0.032076136764187524,33.24766666666667
2016-10-27,27.64,27.69,25.96,26.49,3365416,UA,-0.035324107793153765,33.001999999999995
2016-10-28,26.64,26.72,25.91,25.91,2192129,UA,-0.021895054737636782,32.72533333333334
2016-10-31,25.89,26.14,25.53,25.86,1483757,UA,-0.0019297568506368471,32.459666666666664
2016-11-01,26.01,26.0984,25.02,25.51,1917801,UA,-0.01353441608662018,32.19466666666666
2016-11-02,25.36,26.09,25.1801,25.35,1637801,UA,-0.006272050176401416,31.896333333333335
2016-11-03,25.31,25.7,24.93,25.3,1557521,UA,-0.001972386587771231,31.583000000000002
2016-11-04,25.22,25.65,25.22,25.61,1293341,UA,0.012252964426877419,31.294
2016-11-07,25.98,26.15,25.82,25.94,1151279,UA,0.012885591565794684,31.03933333333333
2016-11-08,25.98,26.12,25.69,26.09,764567,UA,0.0057825751734772,30.776666666666667
2016-11-09,25.11,26.15,24.63,25.9,1353172,UA,-0.007282483710233855,30.494333333333334
2016-11-10,26.08,26.73,25.61,25.61,860885,UA,-0.011196911196911165,30.22533333333333
2016-11-11,25.64,26.13,25.45,25.61,938829,UA,0.0,29.950333333333333
2016-11-14,25.73,25.85,24.83,24.88,1067024,UA,-0.02850449043342446,29.64466666666667
2016-11-15,25.01,25.57,24.8,25.36,1148414,UA,0.019292604501607736,29.366666666666667
2016-11-16,25.28,25.42,24.98,25.32,1324180,UA,-0.0015772870662460231,29.098
2016-11-17,25.48,25.49,24.83,25.27,803381,UA,-0.0019747235387046094,28.843666666666664
2016-11-18,25.23,25.23,23.565,23.75,1805098,UA,-0.06015037593984961,28.54033333333333
2016-11-21,23.84,24.179,23.8,23.8,1138437,UA,0.0021052631578947667,28.224666666666668
2016-11-22,23.93,24.09,23.51,24.01,1845767,UA,0.008823529411764742,27.918
2016-11-23,24.19,24.23,23.7212,23.93,1308733,UA,-0.003331945022907199,27.59033333333333
2016-11-25,24.1,24.24,23.81,24.14,479124,UA,0.008775595486836643,27.281999999999996
2016-11-28,25.04,26.63,24.76,26.29,7457476,UA,0.08906379453189721,27.037666666666667
2016-11-29,26.77,26.94,25.64,25.86,3222311,UA,-0.016356028908330152,26.807666666666666
2016-11-30,25.82,26.22,25.66,25.78,2199829,UA,-0.0030935808197988515,26.55666666666667
2016-12-01,25.98,26.52,25.14,25.2,1568197,UA,-0.022498060512024895,26.26266666666667
2016-12-02,25.3,25.32,24.58,24.77,1736134,UA,-0.01706349206349205,25.974333333333334
2016-12-05,24.97,25.37,24.9001,25.06,1712967,UA,0.011707710940653983,25.711
2016-12-06,25.45,25.52,25.01,25.41,1202357,UA,0.013966480446927432,25.461333333333332
2016-12-07,26.65,27.28,26.02,27.03,6525630,UA,0.06375442739079107,25.416666666666668
2016-12-08,28.1,28.85,27.44,28.82,6932695,UA,0.06622271550129483,25.462
2016-12-09,29.41,29.53,28.28,28.81,4014148,UA,-0.0003469812630118516,25.539333333333335
2016-12-12,28.9,29.06,27.5,27.61,3196694,UA,-0.04165220409580005,25.596
2016-12-13,27.7,27.98,27.17,27.34,2908443,UA,-0.00977906555595797,25.645333333333333
2016-12-14,27.37,27.4,26.44,26.57,2829072,UA,-0.02816386247256765,25.680666666666664
2016-12-15,26.79,26.79,25.5,25.8,3919217,UA,-0.028980052691004878,25.695666666666668
2016-12-16,25.89,26.16,25.45,25.48,2964252,UA,-0.012403100775193809,25.701666666666664
2016-12-19,25.74,25.8,25.26,25.37,2733023,UA,-0.004317111459968581,25.693666666666665
2016-12-20,25.48,25.92,25.47,25.69,3071387,UA,0.012613322822230991,25.685333333333336
2016-12-21,25.96,26.11,25.48,26.05,3754527,UA,0.014013234721681565,25.684
2016-12-22,26.07,26.16,25.36,25.48,2436328,UA,-0.021880998080614215,25.67
2016-12-23,25.63,25.7333,25.16,25.23,1443579,UA,-0.009811616954474097,25.657333333333334
2016-12-27,25.23,25.5,25.11,25.18,1686147,UA,-0.0019817677368212726,25.642999999999997
2016-12-28,25.22,25.345,24.86,25.23,1636545,UA,0.0019857029388403776,25.654666666666667
2016-12-29,25.28,25.36,25.07,25.12,1784289,UA,-0.004359889021006715,25.646666666666665
2016-12-30,25.17,25.33,24.92,25.17,3574747,UA,0.0019904458598726396,25.641666666666666
2017-01-03,25.49,25.85,25.25,25.76,1996889,UA,0.02344060389352403,25.658
2017-01-04,26.0,26.72,25.93,26.57,2626963,UA,0.031444099378881936,25.752000000000002
2017-01-05,26.45,26.47,26.03,26.21,2527895,UA,-0.013549115543846421,25.832333333333334
2017-01-06,26.46,27.07,26.41,27.04,3766342,UA,0.031667302556276165,25.933333333333334
2017-01-09,27.47,27.53,26.8441,27.02,2815478,UA,-0.0007396449704141854,26.036333333333335
2017-01-10,27.12,27.6352,27.06,27.32,1711264,UA,0.011102886750555171,26.142333333333337
2017-01-11,27.45,27.48,26.75,26.98,1777748,UA,-0.012445095168374812,26.165333333333333
2017-01-12,26.91,26.99,26.57,26.84,1295228,UA,-0.0051890289103039495,26.197999999999997
2017-01-13,26.79,26.92,26.119,26.5,3140155,UA,-0.01266766020864381,26.221999999999998
2017-01-17,26.44,26.47,25.97,26.2,2421201,UA,-0.011320754716981159,26.255333333333336
2017-01-18,26.23,26.25,25.25,25.35,2693684,UA,-0.032442748091602976,26.27466666666667
2017-01-19,25.6,25.74,24.9,25.26,3873137,UA,-0.00355029585798816,26.281333333333336
2017-01-20,25.48,25.54,24.9,25.16,3215910,UA,-0.003958828186856746,26.273000000000003
2017-01-23,25.19,25.19,24.5,24.96,3062134,UA,-0.007949125596184391,26.204
2017-01-24,25.0,25.21,24.91,25.12,2384133,UA,0.006410256410256416,26.08066666666667
2017-01-25,25.44,25.78,25.4,25.69,2130201,UA,0.02269108280254778,25.976666666666667
2017-01-26,25.78,26.25,25.36,25.5,1404812,UA,-0.007395873880887555,25.906333333333333
2017-01-27,25.5,25.64,25.1,25.52,1902504,UA,0.0007843137254901793,25.845666666666666
2017-01-30,25.56,25.59,24.8247,25.09,3275152,UA,-0.016849529780564254,25.796333333333333
2017-01-31,18.78,20.08,18.52,19.22,57001577,UA,-0.23395775209246716,25.577
2017-02-01,19.5,19.56,18.76,18.8,14801052,UA,-0.021852237252861506,25.354333333333333
2017-02-02,18.81,18.81,18.05,18.12,12632471,UA,-0.03617021276595743,25.112666666666666
2017-02-03,18.25,18.3,18.02,18.19,6407894,UA,0.00386313465783666,24.862666666666666
2017-02-06,18.31,18.4,18.1,18.14,5216788,UA,-0.002748763056624558,24.599
2017-02-07,18.14,18.28,17.77,17.79,7803817,UA,-0.019294377067254762,24.342666666666666
2017-02-08,17.8,18.44,17.8,18.3,6765510,UA,0.02866779089376063,24.111666666666668
2017-02-09,18.35,19.33,18.33,19.3,9278095,UA,0.0546448087431694,23.915666666666667
2017-02-10,19.56,19.56,18.86,19.04,6249292,UA,-0.013471502590673656,23.709333333333333
2017-02-13,19.25,19.2622,18.53,18.65,4709881,UA,-0.020483193277310956,23.493666666666666
2017-02-14,18.86,19.48,18.85,19.41,6275821,UA,0.04075067024128695,23.30166666666667
2017-02-15,19.35,19.91,19.16,19.86,7106601,UA,0.023183925811437366,23.105000000000004
2017-02-16,19.94,19.98,19.45,19.63,4232736,UA,-0.011581067472306165,22.87366666666667
2017-02-17,19.6,19.895,19.5,19.75,4778767,UA,0.006113092205807489,22.658333333333335
2017-02-21,19.81,19.91,19.6,19.69,2714311,UA,-0.003037974683544239,22.413333333333334
2017-02-22,19.77,20.23,19.57,19.78,3964541,UA,0.004570848146267134,22.172
