date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,52.52,53.44,52.45,53.09,1081905,URI,,
2013-02-11,53.09,53.84,52.86,53.32,1244021,URI,0.0043322659634582195,
2013-02-12,54.0,55.04,53.77,54.3,2053598,URI,0.01837959489872462,
2013-02-13,54.5,55.73,54.37,55.49,2053175,URI,0.021915285451197145,
2013-02-14,55.21,56.1767,54.88,55.9,1486243,URI,0.007388718688051839,
2013-02-15,55.72,56.16,54.61,54.87,1970433,URI,-0.018425760286225425,
2013-02-19,55.0,55.7,54.52,55.64,1225444,URI,0.01403316930927653,
2013-02-20,55.85,56.87,52.72,53.09,2928206,URI,-0.0458303378864126,
2013-02-21,52.91,53.09,49.27,50.94,4257043,URI,-0.04049726878884923,
2013-02-22,51.42,53.28,51.41,52.71,2339970,URI,0.03474676089517085,
2013-02-25,53.25,54.11,50.41,50.47,2910914,URI,-0.04249667994687919,
2013-02-26,50.93,51.35,49.1,51.1,3562258,URI,0.012482662968099913,
2013-02-27,51.12,53.558,50.98,52.54,2041496,URI,0.028180039138943205,
2013-02-28,52.56,54.26,52.36,53.41,2009076,URI,0.016558812333460172,
2013-03-01,52.58,53.24,51.67,52.63,2064140,URI,-0.014604006740310692,
2013-03-04,52.49,52.49,50.9,52.05,2662723,URI,-0.011020330609918399,
2013-03-05,54.88,55.99,54.25,54.94,4594954,URI,0.055523535062439976,
2013-03-06,55.1,55.489,54.1338,54.26,1682329,URI,-0.012377138696760097,
2013-03-07,54.41,54.56,53.41,53.78,1435500,URI,-0.0088462956137117,
2013-03-08,54.43,54.9899,53.61,54.8,1452373,URI,0.01896615842320558,
2013-03-11,54.08,54.6485,53.66,54.31,1428008,URI,-0.008941605839415966,
2013-03-12,54.31,54.467,53.18,53.53,1878740,URI,-0.01436199594918065,
2013-03-13,53.69,54.9,53.42,54.64,1569172,URI,0.020736035867737704,
2013-03-14,54.95,55.28,53.77,54.24,1413688,URI,-0.007320644216691043,
2013-03-15,53.98,54.08,52.57,52.69,2393717,URI,-0.028576696165191817,
2013-03-18,52.05,53.59,51.26,52.99,1747107,URI,0.0056936800151832275,
2013-03-19,53.46,54.46,52.48,53.42,1438883,URI,0.00811473862993017,
2013-03-20,54.07,55.62,53.84,55.23,1805819,URI,0.03388244103332076,
2013-03-21,54.69,55.83,53.19,54.18,1406868,URI,-0.019011406844106415,
2013-03-22,54.55,54.92,53.2,53.83,1087819,URI,-0.006459948320413463,53.61300000000001
