date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,83.52,84.55,83.52,84.51,637204,VNO,,
2013-02-11,84.6,85.06,84.41,84.8,722841,VNO,0.0034315465625368836,
2013-02-12,84.86,85.65,84.78,85.57,850313,VNO,0.009080188679245236,
2013-02-13,85.63,85.94,85.4,85.59,864609,VNO,0.00023372677340201278,
2013-02-14,85.21,85.28,84.61,85.04,694976,VNO,-0.006425984343965383,
2013-02-15,85.35,85.5,84.69,84.89,1836172,VNO,-0.0017638758231421174,
2013-02-19,84.93,85.75,84.86,85.75,853133,VNO,0.010130757450818699,
2013-02-20,85.54,85.858,84.79,84.88,751030,VNO,-0.01014577259475224,
2013-02-21,84.9,84.9,83.93,84.0,852335,VNO,-0.010367577756833123,
2013-02-22,84.36,85.35,84.31,85.34,614486,VNO,0.015952380952380992,
2013-02-25,85.68,85.92,83.05,83.06,886713,VNO,-0.02671666276072183,
2013-02-26,83.57,84.055,82.65,83.0,1034994,VNO,-0.0007223693715386741,
2013-02-27,82.36,83.31,81.59,82.68,1483247,VNO,-0.003855421686746906,
2013-02-28,82.88,83.26,80.21,80.21,3690911,VNO,-0.029874213836478144,
2013-03-01,79.84,80.31,79.43,80.31,1301448,VNO,0.0012467273407306887,
2013-03-04,80.8,81.65,80.5,81.36,1136117,VNO,0.013074336944340645,
2013-03-05,81.93,84.35,81.86,84.11,2304104,VNO,0.03380039331366765,
2013-03-06,84.29,84.43,82.82,83.22,874317,VNO,-0.010581381524194513,
2013-03-07,83.18,83.62,82.85,83.02,1169123,VNO,-0.00240326844508535,
2013-03-08,83.78,84.46,83.5,84.24,1245453,VNO,0.014695254155625137,
2013-03-11,83.91,84.87,83.58,84.84,1071821,VNO,0.007122507122507224,
2013-03-12,84.7,84.82,83.55,83.64,983522,VNO,-0.014144271570014176,
2013-03-13,83.59,84.02,82.9,83.16,900842,VNO,-0.005738880918220994,
2013-03-14,83.34,83.66,83.09,83.37,772233,VNO,0.002525252525252621,
2013-03-15,83.05,83.75,82.46,83.28,2116023,VNO,-0.0010795250089960825,
2013-03-18,82.68,83.125,82.22,82.69,1094571,VNO,-0.007084534101825209,
2013-03-19,82.75,82.95,81.1,81.72,1455112,VNO,-0.011730559922602479,
2013-03-20,82.1,82.28,81.63,81.77,1011917,VNO,0.0006118453255016784,
2013-03-21,81.29,81.95,81.285,81.48,1228798,VNO,-0.003546532958297567,
2013-03-22,81.86,82.06,81.29,81.59,616201,VNO,0.0013500245459008276,83.43733333333333
2013-03-25,81.79,81.93,81.2302,81.52,760857,VNO,-0.0008579482779753326,83.33766666666665
2013-03-26,81.93,82.37,81.8901,82.33,634618,VNO,0.009936211972522108,83.25533333333333
