date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2016-01-05,123.43,126.25,122.31,125.84,2163572,WLTW,,
2016-01-06,125.24,125.54,119.94,119.98,2386461,WLTW,-0.04656706929434202,
2016-01-07,116.38,119.74,114.93,114.95,2489451,WLTW,-0.04192365394232373,
2016-01-08,115.48,117.44,113.5,116.62,2006267,WLTW,0.01452805567638105,
2016-01-11,117.01,117.33,114.09,114.97,1408550,WLTW,-0.014148516549476981,
2016-01-12,115.51,116.06,114.5,115.55,1098024,WLTW,0.00504479429416368,
2016-01-13,116.46,117.065,112.59,112.85,949576,WLTW,-0.023366508005192584,
2016-01-14,113.51,115.03,110.05,114.38,785469,WLTW,0.013557820115197175,
2016-01-15,113.33,114.88,111.92,112.53,1093741,WLTW,-0.016174156321035096,
2016-01-19,113.66,115.87,109.87,110.38,1523527,WLTW,-0.019106016173464906,
2016-01-20,109.06,111.6,108.32,109.3,1654181,WLTW,-0.009784381228483406,
2016-01-21,109.73,110.58,108.315,110.0,944335,WLTW,0.00640439158279966,
2016-01-22,111.88,112.949,110.19,111.95,745066,WLTW,0.017727272727272755,
2016-01-25,111.32,114.63,110.0,110.12,703799,WLTW,-0.016346583296114322,
2016-01-26,110.42,111.4,107.3025,111.0,563603,WLTW,0.007991282237558985,
2016-01-27,110.77,112.57,109.02,110.71,896948,WLTW,-0.0026126126126126688,
2016-01-28,110.9,112.97,109.9,112.58,680420,WLTW,0.01689097642489391,
2016-01-29,113.35,114.59,111.67,114.47,749928,WLTW,0.01678806182270386,
2016-02-01,114.0,114.85,112.9,114.5,574170,WLTW,0.0002620774001922,
2016-02-02,113.25,113.86,109.75,110.56,694826,WLTW,-0.034410480349344956,
2016-02-03,113.38,114.64,109.64,114.05,896326,WLTW,0.031566570188133095,
2016-02-04,114.08,116.32,114.08,115.71,956336,WLTW,0.014555019728189362,
2016-02-05,115.12,116.49,109.71,114.02,997061,WLTW,-0.01460547921527956,
2016-02-08,113.3,113.3,110.46,111.16,1200452,WLTW,-0.02508331871601473,
2016-02-09,111.17,112.108,109.64,110.65,1725244,WLTW,-0.004587981288233096,
2016-02-10,106.73,112.1099,106.36,107.52,1945964,WLTW,-0.02828739267962051,
2016-02-11,105.63,109.255,104.11,107.13,1319536,WLTW,-0.003627232142857148,
2016-02-12,108.56,109.4275,107.07,107.84,922402,WLTW,0.006627461962102193,
2016-02-16,109.11,111.3,107.01,110.77,1185091,WLTW,0.027169881305637914,
2016-02-17,110.83,112.11,107.9699,111.24,922004,WLTW,0.004243026090096586,112.77766666666666
2016-02-18,111.12,112.2,108.93,111.6,441403,WLTW,0.0032362459546925516,112.30299999999998
2016-02-19,111.37,112.395,107.28,110.33,1244745,WLTW,-0.01137992831541215,111.98133333333332
2016-02-22,111.36,113.23,111.01,113.04,681534,WLTW,0.024562675609535106,111.91766666666668
2016-02-23,112.37,112.8,111.35,111.89,411236,WLTW,-0.010173389950460065,111.76
2016-02-24,110.77,112.49,109.82,111.56,447282,WLTW,-0.002949325230136726,111.64633333333333
2016-02-25,111.6,112.99,110.75,112.88,559882,WLTW,0.011832197920401516,111.55733333333335
