date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,123.51,126.92,123.5,126.52,1467980,WYNN,,
2013-02-11,126.88,126.88,123.56,124.1,1325558,WYNN,-0.019127410686057555,
2013-02-12,123.57,124.01,122.5,122.67,813480,WYNN,-0.011522965350523712,
2013-02-13,123.6,124.24,122.39,122.4,1253451,WYNN,-0.002201027146001435,
2013-02-14,122.8,123.25,121.49,123.2,887230,WYNN,0.006535947712418277,
2013-02-15,123.08,123.52,122.01,122.96,1088332,WYNN,-0.0019480519480520218,
2013-02-19,120.8999,120.91,118.07,120.39,1901299,WYNN,-0.020901106050748155,
2013-02-20,120.18,120.92,116.33,116.56,1651298,WYNN,-0.03181327352770162,
2013-02-21,116.31,116.32,113.85,115.53,1664853,WYNN,-0.008836650652024719,
2013-02-22,116.15,117.85,115.02,117.34,1296693,WYNN,0.015666926339478943,
2013-02-25,118.56,120.685,115.51,115.56,1625328,WYNN,-0.01516959263678201,
2013-02-26,115.78,116.32,113.39,115.5,1386543,WYNN,-0.0005192107995846511,
2013-02-27,115.88,118.33,115.285,117.64,1449996,WYNN,0.018528138528138532,
2013-02-28,117.24,119.25,116.9,116.9,964147,WYNN,-0.006290377422645315,
2013-03-01,116.95,117.3,115.14,116.57,1041064,WYNN,-0.002822925577416702,
2013-03-04,116.15,117.49,115.12,116.55,1333130,WYNN,-0.00017157073003342218,
2013-03-05,116.88,117.33,115.91,116.0,959721,WYNN,-0.004719004719004695,
2013-03-06,116.39,118.28,115.83,117.3,1034160,WYNN,0.011206896551724113,
2013-03-07,117.27,118.27,116.46,117.21,835607,WYNN,-0.0007672634271100035,
2013-03-08,118.02,118.225,116.655,117.35,908174,WYNN,0.0011944373346984094,
2013-03-11,117.58,119.28,117.24,118.15,1231255,WYNN,0.006817213463996688,
2013-03-12,117.84,118.0,116.6,117.98,1101057,WYNN,-0.0014388489208633237,
2013-03-13,118.18,119.47,117.47,118.63,762388,WYNN,0.005509408374300657,
2013-03-14,118.99,119.98,118.66,119.81,725070,WYNN,0.00994689370311057,
2013-03-15,119.52,120.24,118.5,119.97,1565317,WYNN,0.00133544779233784,
2013-03-18,118.71,121.81,118.24,120.11,1065537,WYNN,0.0011669584062682385,
2013-03-19,120.36,121.33,119.0,119.93,807087,WYNN,-0.0014986262592622814,
2013-03-20,121.1,122.79,120.83,122.32,907790,WYNN,0.019928291503376855,
2013-03-21,121.99,122.88,121.09,121.09,657974,WYNN,-0.010055591890124182,
2013-03-22,121.81,122.9,121.21,122.08,761514,WYNN,0.008175737055082954,119.27733333333335
2013-03-25,122.88,124.65,121.5,121.64,2148665,WYNN,-0.0036041939711664297,119.11466666666666
2013-03-26,122.6,125.0,121.95,124.54,1087340,WYNN,0.023840841828345987,119.12933333333334
2013-03-27,123.86,124.44,122.76,124.13,800494,WYNN,-0.003292114983138034,119.17800000000001
2013-03-28,124.25,125.409,123.36,125.16,880120,WYNN,0.008297752356400557,119.27
2013-04-01,125.23,125.23,122.41,123.19,970121,WYNN,-0.015739852988175127,119.26966666666667
2013-04-02,123.75,124.24,122.51,123.26,1012427,WYNN,0.0005682279405796525,119.27966666666666
