date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,32.31,33.48,32.3,33.05,2599232,ZTS,,
2013-02-11,33.06,33.5,32.88,33.26,1486115,ZTS,0.006354009077155851,
2013-02-12,33.4,34.0,33.15,33.74,1637279,ZTS,0.014431749849669393,
2013-02-13,33.8,33.8,33.0,33.55,1269625,ZTS,-0.005631298162418637,
2013-02-14,33.39,33.45,32.77,33.27,2954324,ZTS,-0.008345752608047513,
2013-02-15,33.31,34.09,33.0,33.98,5415665,ZTS,0.021340547039374623,
2013-02-19,34.02,34.07,33.57,33.84,1206819,ZTS,-0.004120070629782033,
2013-02-20,33.84,33.88,32.6,32.72,1842861,ZTS,-0.03309692671394812,
2013-02-21,32.5,32.8,31.86,32.56,3242213,ZTS,-0.004889975550122145,
2013-02-22,32.78,32.93,32.5,32.59,954407,ZTS,0.0009213759213759562,
2013-02-25,32.68,32.69,32.0,32.07,818858,ZTS,-0.015955814667075883,
2013-02-26,32.05,32.4,31.99,32.04,1048603,ZTS,-0.0009354536950421309,
2013-02-27,32.0,33.05,32.0,32.32,1343563,ZTS,0.008739076154806527,
2013-02-28,32.56,33.55,32.56,33.45,2991401,ZTS,0.03496287128712879,
2013-03-01,33.36,34.7,33.15,34.6,2333917,ZTS,0.034379671150971555,
2013-03-04,34.8,34.89,34.235,34.35,865348,ZTS,-0.0072254335260115606,
2013-03-05,34.41,34.48,33.75,34.29,1413387,ZTS,-0.0017467248908297605,
2013-03-06,34.34,34.38,33.85,33.85,801912,ZTS,-0.012831729367162372,
2013-03-07,33.95,34.68,33.56,34.56,1319992,ZTS,0.020974889217134442,
2013-03-08,34.03,34.69,33.8,34.09,1541064,ZTS,-0.013599537037037004,
2013-03-11,33.97,34.26,33.25,34.18,1729308,ZTS,0.002640070401877275,
2013-03-12,34.12,34.245,33.6,33.82,1557570,ZTS,-0.010532475131655922,
2013-03-13,33.9,34.06,33.08,34.0,2240952,ZTS,0.005322294500295675,
2013-03-14,34.33,35.42,34.2978,34.64,1865195,ZTS,0.01882352941176472,
2013-03-15,34.7,34.84,33.31,33.44,2692080,ZTS,-0.03464203233256359,
2013-03-18,32.75,32.94,32.64,32.84,2371964,ZTS,-0.017942583732057246,
2013-03-19,32.8,33.42,32.3276,32.8,1336276,ZTS,-0.0012180267965897153,
2013-03-20,32.9,33.54,32.5,33.51,1944682,ZTS,0.02164634146341466,
2013-03-21,33.9,34.0,33.29,33.47,514497,ZTS,-0.0011936735302894405,
2013-03-22,33.55,33.75,32.735,33.12,763527,ZTS,-0.010457125784284477,33.46666666666667
2013-03-25,33.48,33.48,32.25,32.46,1324563,ZTS,-0.019927536231883956,33.447
2013-03-26,32.73,32.79,32.0,32.51,1396456,ZTS,0.001540357362908107,33.422000000000004
2013-03-27,32.38,32.89,32.0601,32.74,1896725,ZTS,0.00707474623192876,33.38866666666667
2013-03-28,32.85,33.5,32.63,33.4,7435237,ZTS,0.020158827122785477,33.38366666666666
2013-04-01,33.42,33.59,32.43,32.59,1466213,ZTS,-0.02425149700598788,33.361000000000004
2013-04-02,32.66,33.13,32.46,32.55,712189,ZTS,-0.0012273703590060217,33.31333333333333
2013-04-03,32.67,32.98,32.36,32.53,1409612,ZTS,-0.0006144393241166213,33.269666666666666
2013-04-04,32.41,32.5,31.71,31.84,1946314,ZTS,-0.021211189671072894,33.24033333333333
2013-04-05,31.73,32.07,30.57,31.96,3963480,ZTS,0.0037688442211055587,33.220333333333336
2013-04-08,31.95,32.98,31.77,32.92,1965108,ZTS,0.03003754693366711,33.23133333333333
2013-04-09,33.05,33.5899,32.56,33.44,2002379,ZTS,0.01579586877278238,33.277
2013-04-10,33.76,33.76,32.98,33.15,969452,ZTS,-0.008672248803827727,33.314
2013-04-11,33.22,33.24,32.87,33.16,1826538,ZTS,0.00030165912518847696,33.342
2013-04-12,32.97,33.35,32.6,33.23,723441,ZTS,0.002110977080820274,33.334666666666664
2013-04-15,33.07,33.23,32.17,32.24,839485,ZTS,-0.029792356304543934,33.256
2013-04-16,32.36,33.37,32.29,33.21,2271124,ZTS,0.030086848635235693,33.217999999999996
2013-04-17,32.98,33.23,32.17,32.89,3140912,ZTS,-0.009635651912074685,33.17133333333334
